expenseName,expenseCategory
YOUTUBE PREMIUM,Entertainment
college fee txn,Education
Electronics,Shopping
rapido,Transport
gpay salon 584,Personal Care
DOCTOR VISIT,Health
parking,Transport
supplements done,Health
Theme park,Entertainment
gas cylinder,Bills
pet care,Other
doctor visit,Health
moisturizer,Personal Care
Veg rice,Food
paytm wifi bill 1728,Bills
prime video,Entertainment
Netflix,Entertainment
theme park,Entertainment
Travel insurance,Travel
rent,Bills
dal,Groceries
diesel,Transport
gift,Other
Atm withdrawal,Other
MILKSHAKE,Food
Masala,Groceries
SALAD,Food
phonepe cinema,Entertainment
youtube premium,Entertainment
skincare,Personal Care
gpay tuition 1987,Education
paytm headphones,Shopping
phonepe bike service 1171,Transport
postpaid bill,Bills
Online course,Education
TRIP,Travel
Haircut,Personal Care
wifi bill rs 1748,Bills
TUITION,Education
supermarket rs 1738,Groceries
phonepe pen/paper,Education
Perfume,Shopping
payment chicken rice,Food
perfume,Personal Care
FACE WASH,Personal Care
shaving kit,Personal Care
maintenance fee done,Bills
haircut rs 965,Personal Care
charity,Other
paid electricity bill,Bills
sandwich pay,Food
perfume,Personal Care
PARKING,Transport
mobile recharge rs 559,Bills
FACE WASH,Personal Care
wifi bill,Bills
Grocery items,Groceries
College fee,Education
moisturizer rs 2046,Personal Care
payment tax,Other
bike taxi rs 2163,Transport
DOCTOR VISIT,Health
electronics rs 2772,Shopping
pizza done,Food
upi souvenirs,Travel
skincare,Personal Care
paytm soap,Groceries
insurance premium,Bills
Charity,Other
Bike service,Transport
Prime video,Entertainment
auto fare,Transport
Ola,Transport
Pen/paper,Education
Cinema,Entertainment
Amazon order,Shopping
Shaving kit,Personal Care
BANK CHARGES,Other
TUITION,Education
Pet care,Other
SPOTIFY,Entertainment
phonepe water bill 1850,Bills
internet bill rs 1162,Bills
charity,Other
skincare rs 1610,Personal Care
EXAM FEE,Education
paytm home decor,Shopping
gpay gift,Other
doctor visit rs 1267,Health
paid coursera,Education
Biryani,Food
MEDICINE,Health
Water bill,Bills
Soap,Groceries
Lunch,Food
HEADPHONES,Shopping
ELECTRICITY BILL,Bills
HOTEL BOOKING,Travel
HOMESTAY,Travel
upi electronics,Shopping
PERFUME,Personal Care
Amazon order,Shopping
payment rent,Bills
spent hotel booking,Travel
paid water bill,Bills
gift,Other
Books,Education
exam fee txn,Education
maintenance fee,Bills
travel insurance,Travel
PEN/PAPER,Education
upi bike service,Transport
mobile,Shopping
coursera,Education
paid pet care,Other
NETFLIX,Entertainment
Travel insurance,Travel
salon done,Personal Care
bike taxi,Transport
Kitchenware,Shopping
gpay rent 478,Bills
train ticket,Transport
Concert,Entertainment
Udemy,Education
Pen/paper,Education
vacation,Travel
scan rs 2714,Health
Bank charges,Other
cab ride rs 671,Transport
phonepe train ticket 1391,Transport
THEME PARK,Entertainment
gadgets rs 1791,Shopping
souvenirs,Travel
maintenance fee,Bills
CHECKUP,Health
BOOKS,Education
COOKING OIL,Groceries
Fastag recharge,Transport
phonepe shampoo 346,Groceries
Resort,Travel
tuition,Education
TAX,Other
Electronics,Shopping
SCAN,Health
Rice,Groceries
Movie ticket,Entertainment
Juice,Food
samosa rs 2112,Food
INTEREST PAYMENT,Other
Doctor visit,Health
upi grocery items,Groceries
pet care pay,Other
tax,Other
Provision store,Groceries
Rent,Bills
milk,Groceries
Mobile recharge,Bills
electronics,Shopping
cafe latte,Food
DIESEL,Transport
txn college fee,Education
Lab test,Health
Interest payment,Other
Bank charges,Other
ola,Transport
bakery items,Food
provision store,Groceries
subscription,Entertainment
medicine txn,Health
Book purchase,Entertainment
MILK,Groceries
Travel insurance,Travel
Shaving kit,Personal Care
ev charging,Transport
souvenirs,Travel
CINEMA,Entertainment
dinner,Food
MAINTENANCE FEE,Bills
insurance premium,Bills
upi rent,Bills
POSTPAID BILL,Bills
dth recharge,Bills
TOOTHPASTE,Groceries
RENT,Bills
cab ride,Transport
paid tuition,Education
Game,Entertainment
scan rs 1186,Health
resort,Travel
pen/paper txn,Education
flight ticket rs 2456,Travel
txn atm withdrawal,Other
samosa done,Food
phonepe gadgets 1152,Shopping
Cinema,Entertainment
dth recharge,Bills
paid guided tour,Travel
Supermarket,Groceries
DENTAL CARE,Health
EVENT TICKET,Entertainment
MOISTURIZER,Personal Care
soap,Groceries
PEN/PAPER,Education
IDLY,Food
HOTEL BOOKING,Travel
supplements,Health
TAX,Other
Petrol,Transport
provision store,Groceries
MAINTENANCE FEE,Bills
BAG,Shopping
Medicine,Health
upi maintenance fee 855,Bills
flight ticket done,Travel
upi moisturizer,Personal Care
Fastag recharge,Transport
udemy pay,Education
Wifi bill,Bills
Youtube premium,Entertainment
Guided tour,Travel
MAINTENANCE FEE,Bills
snacks,Food
upi wifi bill,Bills
Salad,Food
Fuel,Transport
Fruits,Groceries
SCAN,Health
Tuition,Education
books,Education
VACATION,Travel
doctor visit,Health
exam fee,Education
monthly pass,Transport
phonepe misc expense,Other
HAIRCUT,Personal Care
IDLY,Food
salon,Personal Care
spotify rs 288,Entertainment
travel insurance done,Travel
txn vacation,Travel
Gym membership,Health
gpay street food,Food
Grocery items,Groceries
Pizza,Food
vacation rs 1290,Travel
FRUITS,Groceries
phonepe coffee 744,Food
gift,Other
detergent,Groceries
Atm withdrawal,Other
laptop,Shopping
ice cream,Food
Gaming currency,Entertainment
udemy,Education
event ticket,Entertainment
phonepe homestay 109,Travel
dth recharge rs 846,Bills
Snacks,Food
HEADPHONES,Shopping
CONCERT,Entertainment
gift,Other
misc expense rs 1817,Other
LAB TEST,Health
Pen/paper,Education
phonepe gas cylinder,Bills
RICE,Groceries
phonepe pen/paper,Education
gaming currency,Entertainment
paytm certification,Education
postpaid bill txn,Bills
rent rs 2110,Bills
home decor txn,Shopping
grocery items,Groceries
DOCTOR VISIT,Health
gift rs 2897,Other
Cosmetics,Personal Care
Rice,Groceries
Theme park,Entertainment
exam fee pay,Education
METRO TICKET,Transport
Youtube premium,Entertainment
haircut pay,Personal Care
Electricity bill,Bills
Certification,Education
GUIDED TOUR,Travel
GAME,Entertainment
TAX,Other
Bread,Groceries
masala txn,Groceries
Masala,Groceries
Coke,Food
supermarket,Groceries
petrol,Transport
upi cinema 1324,Entertainment
GROOMING,Personal Care
Coffee,Food
Perfume,Personal Care
pharmacy,Health
gpay electricity bill,Bills
Medicine,Health
First aid,Health
ONLINE COURSE,Education
TUITION,Education
gpay fruits,Groceries
Face wash,Personal Care
home decor,Shopping
gpay coursera,Education
paid supplements,Health
phonepe haircut,Personal Care
flight ticket,Travel
cinema,Entertainment
gpay fuel 646,Transport
prime video,Entertainment
gpay trip 126,Travel
cosmetics,Personal Care
souvenirs,Travel
YOGA CLASS,Health
lab test txn,Health
Youtube premium,Entertainment
internet bill,Bills
flipkart order,Shopping
Coursera,Education
paid face wash,Personal Care
idly txn,Food
college fee,Education
travel insurance,Travel
upi homestay 1823,Travel
ELECTRONICS,Shopping
txn veg rice,Food
college fee,Education
Provision store,Groceries
online course,Education
movie ticket,Entertainment
guided tour rs 1589,Travel
GIFT ITEMS,Shopping
Watch,Shopping
travel insurance,Travel
concert,Entertainment
Interest payment,Other
brunch,Food
PARKING,Transport
CINEMA,Entertainment
auto fare,Transport
MOISTURIZER,Personal Care
Water bill,Bills
donation,Other
BOOKS,Education
Watch,Shopping
txn face wash,Personal Care
trip rs 1267,Travel
Insurance premium,Bills
milkshake rs 166,Food
paid souvenirs,Travel
COSMETICS,Personal Care
gpay spotify 944,Entertainment
spent internet bill,Bills
paytm pizza 1962,Food
monthly pass,Transport
PHARMACY,Health
exam fee,Education
Shaving kit,Personal Care
phonepe salad 903,Food
MOBILE RECHARGE,Bills
Lab test,Health
fruits pay,Groceries
internet bill,Bills
theme park rs 100,Entertainment
LAB TEST,Health
provision store rs 2749,Groceries
phonepe gift items,Shopping
gpay grooming,Personal Care
paid supermarket,Groceries
exam fee,Education
dth recharge,Bills
MEDICINE,Health
laptop,Shopping
milk,Groceries
gas cylinder,Bills
SNACKS,Food
ELECTRICITY BILL,Bills
Parotta,Food
Flight ticket,Travel
flipkart order,Shopping
DONATION,Other
homestay,Travel
cooking oil,Groceries
Homestay,Travel
MISC EXPENSE,Other
paid atm withdrawal,Other
SPA,Personal Care
Gadgets,Shopping
SPA,Personal Care
rent pay,Bills
charity rs 1208,Other
ice cream rs 415,Food
Electronics,Shopping
checkup,Health
Electricity bill,Bills
Cab ride,Transport
upi pharmacy,Health
pen/paper,Education
upi juice 1604,Food
water bill,Bills
spotify,Entertainment
DONATION,Other
Spa,Personal Care
Game,Entertainment
gpay dental care,Health
diesel,Transport
Monthly pass,Transport
bike taxi rs 2761,Transport
upi guided tour,Travel
DTH RECHARGE,Bills
INTEREST PAYMENT,Other
THEME PARK,Entertainment
txn home decor,Shopping
paytm wifi bill,Bills
perfume,Personal Care
BOOKS,Education
RICE,Groceries
paid donation,Other
upi trip 839,Travel
RICE,Groceries
phonepe ola,Transport
netflix pay,Entertainment
hotel booking,Travel
ONLINE COURSE,Education
PEN/PAPER,Education
BOOK PURCHASE,Entertainment
SALON,Personal Care
toothpaste,Groceries
phonepe flight ticket 849,Travel
gpay misc expense 1164,Other
Theme park,Entertainment
detergent,Groceries
Grooming,Personal Care
payment tax,Other
gpay checkup,Health
gas cylinder,Bills
Medicine,Health
Rent,Bills
hotel booking,Travel
gpay interest payment 1357,Other
txn college fee,Education
wifi bill pay,Bills
donation,Other
bike service,Transport
upi medicine 1140,Health
prime video txn,Entertainment
SOAP,Groceries
COLLEGE FEE,Education
First aid,Health
HOME DECOR,Shopping
WATER BILL,Bills
spent water bill,Bills
laptop,Shopping
LAB TEST,Health
haircut,Personal Care
club entry rs 343,Entertainment
Masala,Groceries
Fastag recharge,Transport
upi misc expense,Other
gpay homestay,Travel
SPOTIFY,Entertainment
Dental care,Health
paytm haircut 1453,Personal Care
Dth recharge,Bills
UDEMY,Education
insurance premium rs 738,Bills
PETROL,Transport
gpay vegetables,Groceries
TEA,Food
trip rs 126,Travel
gas cylinder,Bills
masala,Groceries
amazon order,Shopping
lab test,Health
tea,Food
SALON,Personal Care
Dal,Groceries
provision store txn,Groceries
Medicine,Health
Trip,Travel
pen/paper,Education
Electronics,Shopping
Vacation,Travel
Dth recharge,Bills
stationery pay,Shopping
HOTEL BOOKING,Travel
phonepe salad 1394,Food
gift items,Shopping
pet care,Other
Supplements,Health
GYM MEMBERSHIP,Health
IDLY,Food
GIFT ITEMS,Shopping
phonepe salad,Food
Milkshake,Food
Subscription,Entertainment
Supplements,Health
face wash done,Personal Care
detergent,Groceries
theme park txn,Entertainment
COURSE FEE,Education
BOOKS,Education
gadgets,Shopping
electricity bill,Bills
mobile,Shopping
DTH RECHARGE,Bills
Pet care,Other
phonepe insurance premium,Bills
Hotel booking,Travel
clothes rs 2908,Shopping
phonepe rice,Groceries
EXAM FEE,Education
dth recharge,Bills
Certification,Education
car service,Transport
Biryani,Food
charity txn,Other
CLOTHES,Shopping
paytm spa 202,Personal Care
spent toothpaste,Groceries
checkup,Health
phonepe water bill,Bills
auto fare,Transport
MAINTENANCE FEE,Bills
paytm coursera,Education
movie ticket,Entertainment
insurance premium rs 2509,Bills
CAB RIDE,Transport
rent,Bills
SKINCARE,Personal Care
soap,Groceries
cake,Food
Haircut,Personal Care
Fruits,Groceries
GROCERY ITEMS,Groceries
phonepe myntra,Shopping
atm withdrawal,Other
FLIPKART ORDER,Shopping
NETFLIX,Entertainment
TUITION,Education
Soap,Groceries
Electricity bill,Bills
Exam fee,Education
vegetables,Groceries
SPA,Personal Care
Moisturizer,Personal Care
dental care,Health
pen/paper,Education
GROCERY ITEMS,Groceries
Flipkart order,Shopping
phonepe donation,Other
WIFI BILL,Bills
Salon,Personal Care
lab test txn,Health
gift pay,Other
Biryani,Food
DENTAL CARE,Health
Mobile recharge,Bills
pharmacy,Health
GIFT,Other
CHARITY,Other
gas cylinder rs 336,Bills
GAMING CURRENCY,Entertainment
Postpaid bill,Bills
COFFEE,Food
Scan,Health
FIRST AID,Health
DONATION,Other
Perfume,Shopping
Youtube premium,Entertainment
lab test done,Health
Misc expense,Other
upi electronics,Shopping
EXAM FEE,Education
Shaving kit,Personal Care
upi atm withdrawal 1984,Other
paytm perfume 332,Shopping
Electronics,Shopping
watch,Shopping
bread rs 208,Groceries
MILK,Groceries
Tax,Other
paytm donation,Other
Bank charges,Other
cab ride,Transport
CHECKUP,Health
watch pay,Shopping
mobile recharge pay,Bills
dal rs 2655,Groceries
Moisturizer,Personal Care
Auto fare,Transport
Monthly pass,Transport
Amazon order,Shopping
GUIDED TOUR,Travel
Electricity bill,Bills
phonepe electricity bill 1930,Bills
Bank charges,Other
auto,Transport
travel insurance,Travel
postpaid bill,Bills
DETERGENT,Groceries
Atm withdrawal,Other
TRAIN TICKET,Transport
concert,Entertainment
Ola,Transport
Subscription,Entertainment
gadgets pay,Shopping
SOAP,Groceries
Toll,Transport
FIRST AID,Health
game,Entertainment
FACE WASH,Personal Care
Ola,Transport
Idly,Food
BOOKS,Education
udemy,Education
charity,Other
gift,Other
Grooming,Personal Care
Rapido,Transport
spent snacks,Food
SOUVENIRS,Travel
AUTO FARE,Transport
flipkart order,Shopping
paid headphones,Shopping
SALON,Personal Care
charity,Other
Street food,Food
supermarket,Groceries
Udemy,Education
DONATION,Other
MEDICINE,Health
club entry,Entertainment
Interest payment,Other
provision store,Groceries
Flight ticket,Travel
txn hospital,Health
HOME DECOR,Shopping
checkup,Health
Shaving kit,Personal Care
Pen/paper,Education
Grooming,Personal Care
payment netflix,Entertainment
youtube premium,Entertainment
COURSE FEE,Education
hotel booking,Travel
paytm detergent,Groceries
pharmacy,Health
Cake,Food
Books,Education
ONLINE COURSE,Education
txn juice,Food
GYM MEMBERSHIP,Health
Insurance premium,Bills
pen/paper pay,Education
haircut,Personal Care
GIFT ITEMS,Shopping
MEDICINE,Health
payment spa,Personal Care
Momos,Food
certification txn,Education
flight ticket,Travel
Fuel,Transport
TOOTHPASTE,Groceries
STREET FOOD,Food
bakery items rs 2341,Food
Haircut,Personal Care
EV CHARGING,Transport
Salon,Personal Care
BREAD,Groceries
resort,Travel
Club entry,Entertainment
INSURANCE PREMIUM,Bills
Dth recharge,Bills
MONTHLY PASS,Transport
lab test,Health
perfume,Personal Care
pen/paper txn,Education
DAL,Groceries
Salad,Food
BOOKS,Education
Laptop,Shopping
interest payment,Other
Doctor visit,Health
DTH RECHARGE,Bills
Cosmetics,Personal Care
rice,Groceries
Fried rice,Food
Biryani,Food
grooming rs 389,Personal Care
upi online course 1203,Education
METRO TICKET,Transport
car service,Transport
SUBSCRIPTION,Entertainment
Toothpaste,Groceries
phonepe gift 1086,Other
MOBILE RECHARGE,Bills
Detergent,Groceries
Shoes,Shopping
laptop done,Shopping
Atm withdrawal,Other
BIKE SERVICE,Transport
FIRST AID,Health
parotta,Food
Bike service,Transport
Donation,Other
DOCTOR VISIT,Health
FLIGHT TICKET,Travel
upi tuition 1555,Education
Trip,Travel
phonepe travel insurance,Travel
PARKING,Transport
CONCERT,Entertainment
travel insurance,Travel
MISC EXPENSE,Other
EVENT TICKET,Entertainment
guided tour,Travel
Haircut,Personal Care
upi bread 709,Groceries
Fried rice,Food
bus ticket,Transport
Bag,Shopping
gas cylinder,Bills
paid vegetables,Groceries
TRIP,Travel
COURSERA,Education
Vacation,Travel
Checkup,Health
internet bill,Bills
Bike taxi,Transport
txn electronics,Shopping
spent grocery items,Groceries
Subscription,Entertainment
Soap,Groceries
metro ticket rs 1307,Transport
upi books,Education
spent lunch,Food
VACATION,Travel
Perfume,Personal Care
Laptop,Shopping
CERTIFICATION,Education
CLUB ENTRY,Entertainment
BOOKS,Education
paid soap,Groceries
VACATION,Travel
gpay mobile recharge,Bills
upi amazon order,Shopping
MOBILE RECHARGE,Bills
Concert,Entertainment
Perfume,Personal Care
kitchenware,Shopping
paid grocery items,Groceries
juice txn,Food
paytm milk 1596,Groceries
salon,Personal Care
KITCHENWARE,Shopping
Mobile,Shopping
biryani,Food
vegetables,Groceries
Udemy,Education
BOOKS,Education
FACE WASH,Personal Care
dth recharge,Bills
MEDICINE,Health
shaving kit,Personal Care
paid exam fee,Education
petrol,Transport
paid hotel booking,Travel
Travel insurance,Travel
payment dinner,Food
upi rent 1863,Bills
Ola,Transport
vacation,Travel
GAS CYLINDER,Bills
Rent,Bills
Watch,Shopping
EXAM FEE,Education
watch,Shopping
perfume,Personal Care
phonepe cinema,Entertainment
TOOTHPASTE,Groceries
HAIRCUT,Personal Care
HOME DECOR,Shopping
Lab test,Health
Perfume,Personal Care
DOCTOR VISIT,Health
PERFUME,Personal Care
Flight ticket,Travel
Mobile recharge,Bills
resort,Travel
Mobile recharge,Bills
Pet care,Other
NETFLIX,Entertainment
Rice,Groceries
street food done,Food
WIFI BILL,Bills
haircut rs 1941,Personal Care
salon,Personal Care
Toll,Transport
upi monthly pass,Transport
Souvenirs,Travel
atm withdrawal rs 2152,Other
Hospital,Health
Tea,Food
Checkup,Health
gpay tuition 1517,Education
salad txn,Food
moisturizer,Personal Care
phonepe water bill,Bills
BREAD,Groceries
Dental care,Health
HOTEL BOOKING,Travel
txn gift,Other
Atm withdrawal,Other
maintenance fee,Bills
guided tour pay,Travel
MISC EXPENSE,Other
youtube premium,Entertainment
phonepe home decor 1923,Shopping
payment snacks,Food
spent dental care,Health
event ticket done,Entertainment
Bank charges,Other
grooming done,Personal Care
paytm monthly pass,Transport
souvenirs rs 2794,Travel
Uber,Transport
certification,Education
Interest payment,Other
upi prime video,Entertainment
Coke,Food
BANK CHARGES,Other
brunch rs 1053,Food
brunch,Food
Pen/paper,Education
INTEREST PAYMENT,Other
INTERNET BILL,Bills
UBER,Transport
CHARITY,Other
tea,Food
KITCHENWARE,Shopping
checkup pay,Health
upi face wash 1643,Personal Care
atm withdrawal rs 764,Other
monthly pass,Transport
bank charges,Other
checkup rs 2205,Health
gpay interest payment,Other
Uber,Transport
Prime video,Entertainment
AUTO FARE,Transport
phonepe water bill 162,Bills
donation,Other
Cinema,Entertainment
Fruits,Groceries
book purchase,Entertainment
dth recharge,Bills
SHAMPOO,Groceries
certification done,Education
UDEMY,Education
Face wash,Personal Care
phonepe water bill,Bills
flight ticket,Travel
TOOTHPASTE,Groceries
Dosa,Food
Petrol,Transport
toll,Transport
tax,Other
shampoo,Groceries
travel insurance,Travel
Mobile recharge,Bills
spent ev charging,Transport
Tax,Other
CHARITY,Other
ONLINE COURSE,Education
YOGA CLASS,Health
Burger,Food
paytm tuition,Education
paid diesel,Transport
auto fare,Transport
ola,Transport
Vegetables,Groceries
CHARITY,Other
spa,Personal Care
Petrol,Transport
gym membership,Health
gpay idly,Food
paytm subscription,Entertainment
face wash,Personal Care
SHAWARMA,Food
pet care pay,Other
event ticket rs 2593,Entertainment
STATIONERY,Shopping
PHARMACY,Health
gpay rice 1802,Groceries
phonepe gas cylinder,Bills
bus ticket,Transport
phonepe subscription 960,Entertainment
provision store rs 618,Groceries
WIFI BILL,Bills
MAINTENANCE FEE,Bills
SPOTIFY,Entertainment
paytm dal,Groceries
Burger,Food
phonepe juice 753,Food
Veg rice,Food
ICE CREAM,Food
milk,Groceries
Metro ticket,Transport
GIFT,Other
biryani,Food
Scan,Health
payment pet care,Other
Tax,Other
Watch,Shopping
Tax,Other
Perfume,Shopping
exam fee,Education
myntra,Shopping
payment book purchase,Entertainment
certification,Education
maintenance fee,Bills
GIFT,Other
vacation,Travel
CHARITY,Other
Event ticket,Entertainment
SUPERMARKET,Groceries
first aid,Health
TOLL,Transport
parotta,Food
Mobile recharge,Bills
Souvenirs,Travel
yoga class rs 866,Health
DINNER,Food
Vegetables,Groceries
PET CARE,Other
pizza,Food
SOAP,Groceries
phonepe flipkart order,Shopping
Rent,Bills
payment bike taxi,Transport
resort,Travel
BUS TICKET,Transport
Gift,Other
Souvenirs,Travel
pizza pay,Food
phonepe vegetables 742,Groceries
mobile recharge,Bills
GUIDED TOUR,Travel
GYM MEMBERSHIP,Health
phonepe interest payment,Other
SHAMPOO,Groceries
cinema,Entertainment
Gift items,Shopping
Scan,Health
Dth recharge,Bills
moisturizer,Personal Care
SCAN,Health
tax,Other
BRUNCH,Food
paytm first aid,Health
pet care txn,Other
maintenance fee,Bills
Gift,Other
txn medicine,Health
RENT,Bills
phonepe pet care,Other
Fastag recharge,Transport
burger,Food
dental care,Health
txn flight ticket,Travel
diesel,Transport
rapido,Transport
Coke,Food
Bread,Groceries
SHOES,Shopping
MILK,Groceries
SPA,Personal Care
Shaving kit,Personal Care
soap,Groceries
paytm headphones 486,Shopping
gym membership,Health
HOSPITAL,Health
WATCH,Shopping
SHAMPOO,Groceries
Doctor visit,Health
txn netflix,Entertainment
TRAVEL INSURANCE,Travel
DTH RECHARGE,Bills
BAG,Shopping
Subscription,Entertainment
spent homestay,Travel
car service,Transport
Juice,Food
PET CARE,Other
movie ticket,Entertainment
spent college fee,Education
bike taxi txn,Transport
paid movie ticket,Entertainment
phonepe cosmetics,Personal Care
exam fee,Education
Stationery,Shopping
Trip,Travel
water bill rs 1461,Bills
street food,Food
wifi bill,Bills
auto,Transport
SUPPLEMENTS,Health
Movie ticket,Entertainment
dental care,Health
Perfume,Personal Care
event ticket,Entertainment
Bike service,Transport
Hospital,Health
EVENT TICKET,Entertainment
upi train ticket 1452,Transport
PROVISION STORE,Groceries
supplements pay,Health
mobile,Shopping
sandwich,Food
soap,Groceries
Souvenirs,Travel
spent homestay,Travel
insurance premium,Bills
RESORT,Travel
internet bill rs 2915,Bills
payment theme park,Entertainment
provision store,Groceries
doctor visit,Health
tax pay,Other
Interest payment,Other
maintenance fee,Bills
Petrol,Transport
SHAWARMA,Food
paytm hospital 843,Health
Supplements,Health
txn coursera,Education
UBER,Transport
phonepe grocery items,Groceries
spotify rs 174,Entertainment
milkshake pay,Food
fastag recharge,Transport
gym membership,Health
payment vacation,Travel
payment prime video,Entertainment
gpay college fee,Education
biryani,Food
gpay pharmacy,Health
BOOKS,Education
upi prime video,Entertainment
EXAM FEE,Education
theme park rs 909,Entertainment
PROVISION STORE,Groceries
bank charges,Other
Vacation,Travel
perfume,Shopping
cake,Food
spotify,Entertainment
skincare,Personal Care
interest payment,Other
Provision store,Groceries
YOGA CLASS,Health
gift,Other
gpay club entry,Entertainment
charity pay,Other
mobile recharge,Bills
paid exam fee,Education
flight ticket,Travel
shawarma,Food
rice,Groceries
Hotel booking,Travel
tax,Other
postpaid bill,Bills
UDEMY,Education
BOOK PURCHASE,Entertainment
pen/paper rs 2040,Education
Fruits,Groceries
youtube premium,Entertainment
shaving kit,Personal Care
movie ticket rs 324,Entertainment
RAPIDO,Transport
VEG RICE,Food
spent cake,Food
paytm face wash,Personal Care
HAIRCUT,Personal Care
DONATION,Other
CLUB ENTRY,Entertainment
PET CARE,Other
VEG RICE,Food
home decor rs 1340,Shopping
coke txn,Food
GUIDED TOUR,Travel
gpay bus ticket,Transport
SPOTIFY,Entertainment
MOBILE,Shopping
checkup rs 2536,Health
payment subscription,Entertainment
masala done,Groceries
paid donation,Other
books,Education
Vacation,Travel
coursera,Education
Salon,Personal Care
EV CHARGING,Transport
Netflix,Entertainment
SUPPLEMENTS,Health
gift,Other
FLIPKART ORDER,Shopping
Flipkart order,Shopping
txn scan,Health
CAR SERVICE,Transport
toothpaste,Groceries
Perfume,Shopping
internet bill,Bills
pharmacy,Health
GAMING CURRENCY,Entertainment
MOVIE TICKET,Entertainment
MISC EXPENSE,Other
HOTEL BOOKING,Travel
Petrol,Transport
GIFT,Other
spent tax,Other
WATER BILL,Bills
payment atm withdrawal,Other
Gas cylinder,Bills
Maintenance fee,Bills
rent rs 136,Bills
pen/paper txn,Education
dosa rs 1125,Food
gpay gift,Other
trip rs 1526,Travel
tax,Other
TRAIN TICKET,Transport
Scan,Health
phonepe flight ticket 249,Travel
DTH RECHARGE,Bills
electricity bill,Bills
medicine rs 1608,Health
KITCHENWARE,Shopping
Perfume,Personal Care
Certification,Education
txn travel insurance,Travel
CHICKEN RICE,Food
tax txn,Other
TRAVEL INSURANCE,Travel
paytm donation 146,Other
TRIP,Travel
UBER,Transport
Guided tour,Travel
WATCH,Shopping
atm withdrawal,Other
Interest payment,Other
rice,Groceries
spotify,Entertainment
burger,Food
Shawarma,Food
GUIDED TOUR,Travel
FLIGHT TICKET,Travel
gpay gas cylinder,Bills
ATM WITHDRAWAL,Other
Flight ticket,Travel
concert,Entertainment
upi watch,Shopping
first aid rs 1659,Health
BIKE TAXI,Transport
RESORT,Travel
