expenseName,expenseCategory
PPF contribution,Investment
Dominos pizza order,Food
Swiggy order payment,Food
HDFC home loan EMI,EMI
Petrol pump fuel payment,Travel
Zerodha stock purchase,Investment
RedBus bus ticket,Travel
Fixed deposit investment,Investment
Amazon online shopping,Shopping
Ola cab fare,Travel
Zerodha stock purchase,Investment
Zomato dinner bill,Food
Groww ETF investment,Investment
Groww ETF investment,Investment
Reliance Digital purchase,Shopping
SBI car loan EMI,EMI
IKEA furniture shopping,Shopping
HDFC home loan EMI,EMI
Fixed deposit investment,Investment
Flipkart electronics purchase,Shopping
Amazon online shopping,Shopping
Grocery purchase at Big Bazaar,Food
IndiGo flight ticket,Travel
Flipkart electronics purchase,Shopping
Grocery purchase at Big Bazaar,Food
IKEA furniture shopping,Shopping
SBI car loan EMI,EMI
SBI car loan EMI,EMI
MakeMyTrip hotel booking,Travel
Groww ETF investment,Investment
Swiggy order payment,Food
Amazon online shopping,Shopping
Petrol pump fuel payment,Travel
HDFC home loan EMI,EMI
Bajaj Finserv EMI payment,EMI
Myntra clothing order,Shopping
Amazon online shopping,Shopping
Myntra clothing order,Shopping
Zomato dinner bill,Food
Dominos pizza order,Food
Bajaj Finserv EMI payment,EMI
SBI car loan EMI,EMI
Personal loan EMI deduction,EMI
Swiggy order payment,Food
HDFC home loan EMI,EMI
MakeMyTrip hotel booking,Travel
MakeMyTrip hotel booking,Travel
Fixed deposit investment,Investment
Dominos pizza order,Food
Amazon online shopping,Shopping
IKEA furniture shopping,Shopping
Uber ride payment,Travel
Restaurant dining at,Food
MakeMyTrip hotel booking,Travel
Reliance Digital purchase,Shopping
Ola cab fare,Travel
IndiGo flight ticket,Travel
Credit card EMI installment,EMI
IRCTC train ticket booking,Travel
Cafe coffee purchase at,Food
Zerodha stock purchase,Investment
Groww ETF investment,Investment
Ola cab fare,Travel
IndiGo flight ticket,Travel
McDonald's meal payment,Food
Reliance Digital purchase,Shopping
Myntra clothing order,Shopping
Restaurant dining at,Food
HDFC home loan EMI,EMI
Groww ETF investment,Investment
Credit card EMI installment,EMI
Amazon online shopping,Shopping
Flipkart electronics purchase,Shopping
SIP investment in mutual fund,Investment
Flipkart electronics purchase,Shopping
Dominos pizza order,Food
Myntra clothing order,Shopping
Dominos pizza order,Food
Myntra clothing order,Shopping
Credit card EMI installment,EMI
Flipkart electronics purchase,Shopping
Zerodha stock purchase,Investment
Credit card EMI installment,EMI
Restaurant dining at,Food
Fixed deposit investment,Investment
Credit card EMI installment,EMI
Petrol pump fuel payment,Travel
MakeMyTrip hotel booking,Travel
IKEA furniture shopping,Shopping
MakeMyTrip hotel booking,Travel
Ola cab fare,Travel
IndiGo flight ticket,Travel
Cafe coffee purchase at,Food
Flipkart electronics purchase,Shopping
PPF contribution,Investment
MakeMyTrip hotel booking,Travel
McDonald's meal payment,Food
RedBus bus ticket,Travel
Reliance Digital purchase,Shopping
RedBus bus ticket,Travel
RedBus bus ticket,Travel
IKEA furniture shopping,Shopping
Fixed deposit investment,Investment
Reliance Digital purchase,Shopping
Reliance Digital purchase,Shopping
PPF contribution,Investment
RedBus bus ticket,Travel
Reliance Digital purchase,Shopping
Credit card EMI installment,EMI
SBI car loan EMI,EMI
Personal loan EMI deduction,EMI
Ola cab fare,Travel
MakeMyTrip hotel booking,Travel
PPF contribution,Investment
PPF contribution,Investment
PPF contribution,Investment
Amazon online shopping,Shopping
Reliance Digital purchase,Shopping
Bajaj Finserv EMI payment,EMI
Fixed deposit investment,Investment
IKEA furniture shopping,Shopping
Zerodha stock purchase,Investment
SIP investment in mutual fund,Investment
Zerodha stock purchase,Investment
Petrol pump fuel payment,Travel
Fixed deposit investment,Investment
Swiggy order payment,Food
RedBus bus ticket,Travel
Restaurant dining at,Food
IndiGo flight ticket,Travel
Groww ETF investment,Investment
Groww ETF investment,Investment
SIP investment in mutual fund,Investment
Restaurant dining at,Food
McDonald's meal payment,Food
McDonald's meal payment,Food
Ola cab fare,Travel
Flipkart electronics purchase,Shopping
SIP investment in mutual fund,Investment
IndiGo flight ticket,Travel
SBI car loan EMI,EMI
McDonald's meal payment,Food
HDFC home loan EMI,EMI
Personal loan EMI deduction,EMI
PPF contribution,Investment
Uber ride payment,Travel
Uber ride payment,Travel
Personal loan EMI deduction,EMI
Amazon online shopping,Shopping
Groww ETF investment,Investment
HDFC home loan EMI,EMI
SIP investment in mutual fund,Investment
Credit card EMI installment,EMI
Zerodha stock purchase,Investment
Personal loan EMI deduction,EMI
Reliance Digital purchase,Shopping
Myntra clothing order,Shopping
RedBus bus ticket,Travel
Credit card EMI installment,EMI
Fixed deposit investment,Investment
Groww ETF investment,Investment
SBI car loan EMI,EMI
Bajaj Finserv EMI payment,EMI
Myntra clothing order,Shopping
Flipkart electronics purchase,Shopping
PPF contribution,Investment
MakeMyTrip hotel booking,Travel
PPF contribution,Investment
Restaurant dining at,Food
IRCTC train ticket booking,Travel
Credit card EMI installment,EMI
Credit card EMI installment,EMI
Myntra clothing order,Shopping
Groww ETF investment,Investment
Uber ride payment,Travel
HDFC home loan EMI,EMI
Ola cab fare,Travel
Groww ETF investment,Investment
IKEA furniture shopping,Shopping
McDonald's meal payment,Food
IRCTC train ticket booking,Travel
Dominos pizza order,Food
HDFC home loan EMI,EMI
Myntra clothing order,Shopping
MakeMyTrip hotel booking,Travel
SIP investment in mutual fund,Investment
Myntra clothing order,Shopping
Groww ETF investment,Investment
Restaurant dining at,Food
SIP investment in mutual fund,Investment
PPF contribution,Investment
Zomato dinner bill,Food
Myntra clothing order,Shopping
Uber ride payment,Travel
Fixed deposit investment,Investment
Flipkart electronics purchase,Shopping
PPF contribution,Investment
Personal loan EMI deduction,EMI
Personal loan EMI deduction,EMI
Amazon online shopping,Shopping
MakeMyTrip hotel booking,Travel
Zomato dinner bill,Food
Amazon online shopping,Shopping
PPF contribution,Investment
Groww ETF investment,Investment
Bajaj Finserv EMI payment,EMI
SIP investment in mutual fund,Investment
Personal loan EMI deduction,EMI
IndiGo flight ticket,Travel
MakeMyTrip hotel booking,Travel
SBI car loan EMI,EMI
RedBus bus ticket,Travel
Myntra clothing order,Shopping
Groww ETF investment,Investment
Personal loan EMI deduction,EMI
SIP investment in mutual fund,Investment
Groww ETF investment,Investment
Swiggy order payment,Food
IKEA furniture shopping,Shopping
Personal loan EMI deduction,EMI
IndiGo flight ticket,Travel
Groww ETF investment,Investment
Reliance Digital purchase,Shopping
SIP investment in mutual fund,Investment
Groww ETF investment,Investment
McDonald's meal payment,Food
PPF contribution,Investment
Fixed deposit investment,Investment
Restaurant dining at,Food
McDonald's meal payment,Food
Amazon online shopping,Shopping
Reliance Digital purchase,Shopping
Petrol pump fuel payment,Travel
PPF contribution,Investment
IRCTC train ticket booking,Travel
Credit card EMI installment,EMI
SIP investment in mutual fund,Investment
Flipkart electronics purchase,Shopping
Personal loan EMI deduction,EMI
SIP investment in mutual fund,Investment
Cafe coffee purchase at,Food
IndiGo flight ticket,Travel
Personal loan EMI deduction,EMI
PPF contribution,Investment
IndiGo flight ticket,Travel
Zerodha stock purchase,Investment
Flipkart electronics purchase,Shopping
Credit card EMI installment,EMI
Myntra clothing order,Shopping
Bajaj Finserv EMI payment,EMI
Reliance Digital purchase,Shopping
Fixed deposit investment,Investment
Personal loan EMI deduction,EMI
PPF contribution,Investment
MakeMyTrip hotel booking,Travel
Zerodha stock purchase,Investment
SIP investment in mutual fund,Investment
PPF contribution,Investment
IndiGo flight ticket,Travel
Petrol pump fuel payment,Travel
HDFC home loan EMI,EMI
SIP investment in mutual fund,Investment
SIP investment in mutual fund,Investment
Zerodha stock purchase,Investment
Bajaj Finserv EMI payment,EMI
SIP investment in mutual fund,Investment
Reliance Digital purchase,Shopping
Fixed deposit investment,Investment
Zomato dinner bill,Food
SBI car loan EMI,EMI
SIP investment in mutual fund,Investment
Cafe coffee purchase at,Food
HDFC home loan EMI,EMI
Restaurant dining at,Food
Zerodha stock purchase,Investment
Fixed deposit investment,Investment
Ola cab fare,Travel
Reliance Digital purchase,Shopping
IndiGo flight ticket,Travel
Ola cab fare,Travel
Credit card EMI installment,EMI
McDonald's meal payment,Food
Personal loan EMI deduction,EMI
Groww ETF investment,Investment
Credit card EMI installment,EMI
Groww ETF investment,Investment
PPF contribution,Investment
Fixed deposit investment,Investment
Bajaj Finserv EMI payment,EMI
Groww ETF investment,Investment
Grocery purchase at Big Bazaar,Food
SBI car loan EMI,EMI
SBI car loan EMI,EMI
Myntra clothing order,Shopping
MakeMyTrip hotel booking,Travel
Restaurant dining at,Food
Grocery purchase at Big Bazaar,Food
Uber ride payment,Travel
Credit card EMI installment,EMI
RedBus bus ticket,Travel
Personal loan EMI deduction,EMI
SBI car loan EMI,EMI
Groww ETF investment,Investment
HDFC home loan EMI,EMI
Zomato dinner bill,Food
RedBus bus ticket,Travel
Fixed deposit investment,Investment
SIP investment in mutual fund,Investment
Cafe coffee purchase at,Food
Personal loan EMI deduction,EMI
HDFC home loan EMI,EMI
SIP investment in mutual fund,Investment
Myntra clothing order,Shopping
MakeMyTrip hotel booking,Travel
Groww ETF investment,Investment
Zomato dinner bill,Food
Restaurant dining at,Food
Swiggy order payment,Food
Flipkart electronics purchase,Shopping
Personal loan EMI deduction,EMI
IndiGo flight ticket,Travel
Fixed deposit investment,Investment
HDFC home loan EMI,EMI
IndiGo flight ticket,Travel
RedBus bus ticket,Travel
Personal loan EMI deduction,EMI
HDFC home loan EMI,EMI
Uber ride payment,Travel
SIP investment in mutual fund,Investment
Amazon online shopping,Shopping
SBI car loan EMI,EMI
Flipkart electronics purchase,Shopping
Flipkart electronics purchase,Shopping
IRCTC train ticket booking,Travel
Amazon online shopping,Shopping
Ola cab fare,Travel
Uber ride payment,Travel
Zomato dinner bill,Food
Petrol pump fuel payment,Travel
IRCTC train ticket booking,Travel
Fixed deposit investment,Investment
Cafe coffee purchase at,Food
Personal loan EMI deduction,EMI
Fixed deposit investment,Investment
Amazon online shopping,Shopping
Myntra clothing order,Shopping
Swiggy order payment,Food
PPF contribution,Investment
PPF contribution,Investment
Restaurant dining at,Food
Zomato dinner bill,Food
IKEA furniture shopping,Shopping
Fixed deposit investment,Investment
Fixed deposit investment,Investment
McDonald's meal payment,Food
Flipkart electronics purchase,Shopping
IndiGo flight ticket,Travel
PPF contribution,Investment
Restaurant dining at,Food
Bajaj Finserv EMI payment,EMI
SIP investment in mutual fund,Investment
Swiggy order payment,Food
SBI car loan EMI,EMI
IKEA furniture shopping,Shopping
Cafe coffee purchase at,Food
SIP investment in mutual fund,Investment
Myntra clothing order,Shopping
IKEA furniture shopping,Shopping
Zerodha stock purchase,Investment
Personal loan EMI deduction,EMI
Personal loan EMI deduction,EMI
Fixed deposit investment,Investment
IKEA furniture shopping,Shopping
Amazon online shopping,Shopping
HDFC home loan EMI,EMI
Bajaj Finserv EMI payment,EMI
RedBus bus ticket,Travel
SIP investment in mutual fund,Investment
Swiggy order payment,Food
IndiGo flight ticket,Travel
SBI car loan EMI,EMI
Personal loan EMI deduction,EMI
Zomato dinner bill,Food
Amazon online shopping,Shopping
Credit card EMI installment,EMI
Fixed deposit investment,Investment
SBI car loan EMI,EMI
Restaurant dining at,Food
Personal loan EMI deduction,EMI
HDFC home loan EMI,EMI
Amazon online shopping,Shopping
SBI car loan EMI,EMI
Bajaj Finserv EMI payment,EMI
Cafe coffee purchase at,Food
Ola cab fare,Travel
Petrol pump fuel payment,Travel
HDFC home loan EMI,EMI
Cafe coffee purchase at,Food
McDonald's meal payment,Food
Fixed deposit investment,Investment
Groww ETF investment,Investment
Restaurant dining at,Food
Reliance Digital purchase,Shopping
HDFC home loan EMI,EMI
Zomato dinner bill,Food
Fixed deposit investment,Investment
Bajaj Finserv EMI payment,EMI
Uber ride payment,Travel
Grocery purchase at Big Bazaar,Food
Bajaj Finserv EMI payment,EMI
Ola cab fare,Travel
SBI car loan EMI,EMI
RedBus bus ticket,Travel
Zomato dinner bill,Food
PPF contribution,Investment
Reliance Digital purchase,Shopping
IKEA furniture shopping,Shopping
SBI car loan EMI,EMI
PPF contribution,Investment
Personal loan EMI deduction,EMI
Amazon online shopping,Shopping
SIP investment in mutual fund,Investment
HDFC home loan EMI,EMI
Grocery purchase at Big Bazaar,Food
PPF contribution,Investment
Cafe coffee purchase at,Food
Flipkart electronics purchase,Shopping
Fixed deposit investment,Investment
Cafe coffee purchase at,Food
HDFC home loan EMI,EMI
Uber ride payment,Travel
PPF contribution,Investment
Flipkart electronics purchase,Shopping
Credit card EMI installment,EMI
Personal loan EMI deduction,EMI
HDFC home loan EMI,EMI
Reliance Digital purchase,Shopping
Flipkart electronics purchase,Shopping
Flipkart electronics purchase,Shopping
Credit card EMI installment,EMI
Restaurant dining at,Food
SBI car loan EMI,EMI
Amazon online shopping,Shopping
Fixed deposit investment,Investment
Bajaj Finserv EMI payment,EMI
IRCTC train ticket booking,Travel
Zerodha stock purchase,Investment
Ola cab fare,Travel
Grocery purchase at Big Bazaar,Food
Amazon online shopping,Shopping
Flipkart electronics purchase,Shopping
Ola cab fare,Travel
Flipkart electronics purchase,Shopping
Cafe coffee purchase at,Food
IndiGo flight ticket,Travel
Zerodha stock purchase,Investment
Credit card EMI installment,EMI
IRCTC train ticket booking,Travel
Reliance Digital purchase,Shopping
Credit card EMI installment,EMI
Zerodha stock purchase,Investment
Flipkart electronics purchase,Shopping
Dominos pizza order,Food
Personal loan EMI deduction,EMI
Amazon online shopping,Shopping
IRCTC train ticket booking,Travel
Flipkart electronics purchase,Shopping
Zomato dinner bill,Food
HDFC home loan EMI,EMI
Fixed deposit investment,Investment
SIP investment in mutual fund,Investment
Restaurant dining at,Food
SBI car loan EMI,EMI
Credit card EMI installment,EMI
RedBus bus ticket,Travel
Fixed deposit investment,Investment
Swiggy order payment,Food
Petrol pump fuel payment,Travel
IKEA furniture shopping,Shopping
SBI car loan EMI,EMI
Zomato dinner bill,Food
Reliance Digital purchase,Shopping
Fixed deposit investment,Investment
IKEA furniture shopping,Shopping
IRCTC train ticket booking,Travel
Myntra clothing order,Shopping
Zerodha stock purchase,Investment
Grocery purchase at Big Bazaar,Food
Grocery purchase at Big Bazaar,Food
IKEA furniture shopping,Shopping
SIP investment in mutual fund,Investment
Bajaj Finserv EMI payment,EMI
HDFC home loan EMI,EMI
McDonald's meal payment,Food
SBI car loan EMI,EMI
Myntra clothing order,Shopping
RedBus bus ticket,Travel
PPF contribution,Investment
Uber ride payment,Travel
SIP investment in mutual fund,Investment
McDonald's meal payment,Food
Restaurant dining at,Food
Reliance Digital purchase,Shopping
Reliance Digital purchase,Shopping
IRCTC train ticket booking,Travel
McDonald's meal payment,Food
HDFC home loan EMI,EMI
PPF contribution,Investment
Groww ETF investment,Investment
PPF contribution,Investment
Myntra clothing order,Shopping
SIP investment in mutual fund,Investment
Petrol pump fuel payment,Travel
Swiggy order payment,Food
Bajaj Finserv EMI payment,EMI
Zerodha stock purchase,Investment
Credit card EMI installment,EMI
Personal loan EMI deduction,EMI
HDFC home loan EMI,EMI
Groww ETF investment,Investment
Uber ride payment,Travel
Reliance Digital purchase,Shopping
Zomato dinner bill,Food
Bajaj Finserv EMI payment,EMI
Amazon online shopping,Shopping
Groww ETF investment,Investment
Grocery purchase at Big Bazaar,Food
Credit card EMI installment,EMI
SBI car loan EMI,EMI
Dominos pizza order,Food
Reliance Digital purchase,Shopping
Restaurant dining at,Food
Zerodha stock purchase,Investment
Credit card EMI installment,EMI
RedBus bus ticket,Travel
MakeMyTrip hotel booking,Travel
McDonald's meal payment,Food
Bajaj Finserv EMI payment,EMI
IKEA furniture shopping,Shopping
SBI car loan EMI,EMI
RedBus bus ticket,Travel
Uber ride payment,Travel
Ola cab fare,Travel
Restaurant dining at,Food
Credit card EMI installment,EMI
Flipkart electronics purchase,Shopping
Swiggy order payment,Food
Fixed deposit investment,Investment
Fixed deposit investment,Investment
HDFC home loan EMI,EMI
Myntra clothing order,Shopping
IKEA furniture shopping,Shopping
IndiGo flight ticket,Travel
McDonald's meal payment,Food
IRCTC train ticket booking,Travel
SBI car loan EMI,EMI
Myntra clothing order,Shopping
SBI car loan EMI,EMI
Myntra clothing order,Shopping
Personal loan EMI deduction,EMI
Flipkart electronics purchase,Shopping
Flipkart electronics purchase,Shopping
IKEA furniture shopping,Shopping
Amazon online shopping,Shopping
Swiggy order payment,Food
Myntra clothing order,Shopping
Reliance Digital purchase,Shopping
Cafe coffee purchase at,Food
Myntra clothing order,Shopping
Credit card EMI installment,EMI
Groww ETF investment,Investment
Zomato dinner bill,Food
PPF contribution,Investment
Flipkart electronics purchase,Shopping
Bajaj Finserv EMI payment,EMI
RedBus bus ticket,Travel
Amazon online shopping,Shopping
SIP investment in mutual fund,Investment
Ola cab fare,Travel
Credit card EMI installment,EMI
Zerodha stock purchase,Investment
RedBus bus ticket,Travel
Myntra clothing order,Shopping
IndiGo flight ticket,Travel
PPF contribution,Investment
SIP investment in mutual fund,Investment
Fixed deposit investment,Investment
Ola cab fare,Travel
Swiggy order payment,Food
Reliance Digital purchase,Shopping
McDonald's meal payment,Food
IRCTC train ticket booking,Travel
Groww ETF investment,Investment
Grocery purchase at Big Bazaar,Food
Personal loan EMI deduction,EMI
Fixed deposit investment,Investment
Myntra clothing order,Shopping
IKEA furniture shopping,Shopping
Cafe coffee purchase at,Food
Personal loan EMI deduction,EMI
Ola cab fare,Travel
Fixed deposit investment,Investment
Zomato dinner bill,Food
Fixed deposit investment,Investment
IKEA furniture shopping,Shopping
Myntra clothing order,Shopping
Myntra clothing order,Shopping
IKEA furniture shopping,Shopping
Myntra clothing order,Shopping
Restaurant dining at,Food
Cafe coffee purchase at,Food
Grocery purchase at Big Bazaar,Food
IKEA furniture shopping,Shopping
Grocery purchase at Big Bazaar,Food
IKEA furniture shopping,Shopping
Zerodha stock purchase,Investment
Uber ride payment,Travel
Zomato dinner bill,Food
Credit card EMI installment,EMI
IndiGo flight ticket,Travel
Reliance Digital purchase,Shopping
Dominos pizza order,Food
Petrol pump fuel payment,Travel
Fixed deposit investment,Investment
IndiGo flight ticket,Travel
Personal loan EMI deduction,EMI
Personal loan EMI deduction,EMI
IRCTC train ticket booking,Travel
IRCTC train ticket booking,Travel
MakeMyTrip hotel booking,Travel
Credit card EMI installment,EMI
Bajaj Finserv EMI payment,EMI
Reliance Digital purchase,Shopping
Groww ETF investment,Investment
IRCTC train ticket booking,Travel
Restaurant dining at,Food
Credit card EMI installment,EMI
Myntra clothing order,Shopping
SBI car loan EMI,EMI
Flipkart electronics purchase,Shopping
Flipkart electronics purchase,Shopping
Swiggy order payment,Food
SIP investment in mutual fund,Investment
Uber ride payment,Travel
IndiGo flight ticket,Travel
PPF contribution,Investment
Bajaj Finserv EMI payment,EMI
McDonald's meal payment,Food
Flipkart electronics purchase,Shopping
Zomato dinner bill,Food
Uber ride payment,Travel
PPF contribution,Investment
HDFC home loan EMI,EMI
IKEA furniture shopping,Shopping
Bajaj Finserv EMI payment,EMI
IKEA furniture shopping,Shopping
RedBus bus ticket,Travel
SBI car loan EMI,EMI
SBI car loan EMI,EMI
SBI car loan EMI,EMI
Bajaj Finserv EMI payment,EMI
Ola cab fare,Travel
PPF contribution,Investment
Cafe coffee purchase at,Food
Ola cab fare,Travel
Uber ride payment,Travel
IndiGo flight ticket,Travel
Bajaj Finserv EMI payment,EMI
Amazon online shopping,Shopping
SBI car loan EMI,EMI
Cafe coffee purchase at,Food
Fixed deposit investment,Investment
HDFC home loan EMI,EMI
Bajaj Finserv EMI payment,EMI
Ola cab fare,Travel
Fixed deposit investment,Investment
Reliance Digital purchase,Shopping
RedBus bus ticket,Travel
Amazon online shopping,Shopping
Myntra clothing order,Shopping
Amazon online shopping,Shopping
IKEA furniture shopping,Shopping
Flipkart electronics purchase,Shopping
Reliance Digital purchase,Shopping
MakeMyTrip hotel booking,Travel
Grocery purchase at Big Bazaar,Food
Cafe coffee purchase at,Food
PPF contribution,Investment
Reliance Digital purchase,Shopping
HDFC home loan EMI,EMI
Dominos pizza order,Food
Swiggy order payment,Food
Grocery purchase at Big Bazaar,Food
Cafe coffee purchase at,Food
Zerodha stock purchase,Investment
Groww ETF investment,Investment
PPF contribution,Investment
PPF contribution,Investment
Flipkart electronics purchase,Shopping
HDFC home loan EMI,EMI
Reliance Digital purchase,Shopping
RedBus bus ticket,Travel
Restaurant dining at,Food
Reliance Digital purchase,Shopping
Ola cab fare,Travel
IRCTC train ticket booking,Travel
Swiggy order payment,Food
Fixed deposit investment,Investment
Zomato dinner bill,Food
Grocery purchase at Big Bazaar,Food
Amazon online shopping,Shopping
Cafe coffee purchase at,Food
Flipkart electronics purchase,Shopping
Zomato dinner bill,Food
SBI car loan EMI,EMI
Myntra clothing order,Shopping
SBI car loan EMI,EMI
MakeMyTrip hotel booking,Travel
Groww ETF investment,Investment
IKEA furniture shopping,Shopping
MakeMyTrip hotel booking,Travel
Reliance Digital purchase,Shopping
Credit card EMI installment,EMI
Credit card EMI installment,EMI
Credit card EMI installment,EMI
Reliance Digital purchase,Shopping
IRCTC train ticket booking,Travel
RedBus bus ticket,Travel
Grocery purchase at Big Bazaar,Food
Fixed deposit investment,Investment
Zerodha stock purchase,Investment
HDFC home loan EMI,EMI
HDFC home loan EMI,EMI
Uber ride payment,Travel
IKEA furniture shopping,Shopping
Zomato dinner bill,Food
IKEA furniture shopping,Shopping
RedBus bus ticket,Travel
HDFC home loan EMI,EMI
MakeMyTrip hotel booking,Travel
Zerodha stock purchase,Investment
IndiGo flight ticket,Travel
Myntra clothing order,Shopping
PPF contribution,Investment
Bajaj Finserv EMI payment,EMI
Reliance Digital purchase,Shopping
Groww ETF investment,Investment
Bajaj Finserv EMI payment,EMI
Flipkart electronics purchase,Shopping
Restaurant dining at,Food
IKEA furniture shopping,Shopping
SBI car loan EMI,EMI
IndiGo flight ticket,Travel
IndiGo flight ticket,Travel
Bajaj Finserv EMI payment,EMI
PPF contribution,Investment
SBI car loan EMI,EMI
Reliance Digital purchase,Shopping
Amazon online shopping,Shopping
McDonald's meal payment,Food
Cafe coffee purchase at,Food
Uber ride payment,Travel
Zomato dinner bill,Food
HDFC home loan EMI,EMI
Reliance Digital purchase,Shopping
Swiggy order payment,Food
SIP investment in mutual fund,Investment
Personal loan EMI deduction,EMI
Grocery purchase at Big Bazaar,Food
Zerodha stock purchase,Investment
Grocery purchase at Big Bazaar,Food
Petrol pump fuel payment,Travel
Bajaj Finserv EMI payment,EMI
Restaurant dining at,Food
Fixed deposit investment,Investment
IRCTC train ticket booking,Travel
Dominos pizza order,Food
Swiggy order payment,Food
Fixed deposit investment,Investment
Dominos pizza order,Food
PPF contribution,Investment
Personal loan EMI deduction,EMI
Grocery purchase at Big Bazaar,Food
Ola cab fare,Travel
Reliance Digital purchase,Shopping
Dominos pizza order,Food
IKEA furniture shopping,Shopping
RedBus bus ticket,Travel
Petrol pump fuel payment,Travel
SIP investment in mutual fund,Investment
Flipkart electronics purchase,Shopping
Fixed deposit investment,Investment
RedBus bus ticket,Travel
Grocery purchase at Big Bazaar,Food
HDFC home loan EMI,EMI
RedBus bus ticket,Travel
IKEA furniture shopping,Shopping
Groww ETF investment,Investment
Credit card EMI installment,EMI
Personal loan EMI deduction,EMI
Zerodha stock purchase,Investment
SIP investment in mutual fund,Investment
SBI car loan EMI,EMI
Restaurant dining at,Food
MakeMyTrip hotel booking,Travel
HDFC home loan EMI,EMI
Credit card EMI installment,EMI
HDFC home loan EMI,EMI
IndiGo flight ticket,Travel
IKEA furniture shopping,Shopping
Swiggy order payment,Food
Grocery purchase at Big Bazaar,Food
Credit card EMI installment,EMI
PPF contribution,Investment
Flipkart electronics purchase,Shopping
MakeMyTrip hotel booking,Travel
IRCTC train ticket booking,Travel
Zerodha stock purchase,Investment
Groww ETF investment,Investment
SIP investment in mutual fund,Investment
MakeMyTrip hotel booking,Travel
IKEA furniture shopping,Shopping
Zomato dinner bill,Food
Groww ETF investment,Investment
Groww ETF investment,Investment
Fixed deposit investment,Investment
Personal loan EMI deduction,EMI
IndiGo flight ticket,Travel
Groww ETF investment,Investment
Fixed deposit investment,Investment
Credit card EMI installment,EMI
Groww ETF investment,Investment
Flipkart electronics purchase,Shopping
Flipkart electronics purchase,Shopping
Amazon online shopping,Shopping
Zerodha stock purchase,Investment
HDFC home loan EMI,EMI
PPF contribution,Investment
SBI car loan EMI,EMI
MakeMyTrip hotel booking,Travel
SIP investment in mutual fund,Investment
Reliance Digital purchase,Shopping
IKEA furniture shopping,Shopping
Fixed deposit investment,Investment
Personal loan EMI deduction,EMI
Swiggy order payment,Food
SBI car loan EMI,EMI
Grocery purchase at Big Bazaar,Food
Groww ETF investment,Investment
SIP investment in mutual fund,Investment
SBI car loan EMI,EMI
IKEA furniture shopping,Shopping
Flipkart electronics purchase,Shopping
PPF contribution,Investment
IKEA furniture shopping,Shopping
Cafe coffee purchase at,Food
SIP investment in mutual fund,Investment
IRCTC train ticket booking,Travel
Zerodha stock purchase,Investment
Credit card EMI installment,EMI
Groww ETF investment,Investment
McDonald's meal payment,Food
McDonald's meal payment,Food
Dominos pizza order,Food
Petrol pump fuel payment,Travel
IRCTC train ticket booking,Travel
Zerodha stock purchase,Investment
Ola cab fare,Travel
PPF contribution,Investment
Flipkart electronics purchase,Shopping
PPF contribution,Investment
Ola cab fare,Travel
Grocery purchase at Big Bazaar,Food
Flipkart electronics purchase,Shopping
IndiGo flight ticket,Travel
Fixed deposit investment,Investment
Personal loan EMI deduction,EMI
Fixed deposit investment,Investment
Credit card EMI installment,EMI
Personal loan EMI deduction,EMI
IRCTC train ticket booking,Travel
HDFC home loan EMI,EMI
Petrol pump fuel payment,Travel
