expenseName,expenseCategory
extra resort booking payment,Travel
monthly chicken recharge,Groceries
urgent parking fee,Transport
online kfc subscription,Food
festival expense order,Others
insta wifi bill purchase,Bills
monthly dominos,Food
urgent taxi fare payment,Transport
late night petrol premium,Transport
daily bike petrol,Transport
monthly fruits payment,Groceries
monthly mouse purchase,Shopping
extra dmart bill,Groceries
quick tour package expense,Travel
insta salt subscription,Groceries
insta amazon order bill,Shopping
free fire diamonds payment,Entertainment
late night spotify premium order,Entertainment
cash given premium,Others
quick body spray,Personal Care
daily airtel recharge expense,Bills
juice subscription,Food
extra book purchase purchase,Education
urgent eggs subscription,Groceries
insta postpaid bill order,Bills
extra house rent recharge,Rent
quick bike service subscription,Transport
online soap expense,Personal Care
quick medical shop premium,Health
extra repair work subscription,Others
insta etf purchase expense,Investment
online family gift purchase,Gifts
insta chicken rice expense,Food
quick pg rent premium,Rent
daily ice cream purchase,Food
urgent bigbasket fee,Groceries
daily gift purchase bill,Gifts
insta airtel recharge purchase,Bills
daily dress premium,Shopping
monthly service charge bill,Others
urgent body spray bill,Personal Care
late night pizza recharge,Food
late night notes xerox expense,Education
insta coffee,Food
daily etf purchase premium,Investment
late night eb bill recharge,Bills
monthly jeans premium,Shopping
extra skin care premium,Personal Care
online mobile recharge purchase,Bills
daily eggs recharge,Groceries
late night zepto expense,Groceries
insta gift wrap order,Gifts
quick ola cab order,Transport
insta helmet purchase,Shopping
extra wifi bill purchase,Bills
tshirt bill,Shopping
daily anniversary gift fee,Gifts
late night festival expense premium,Others
extra skin care subscription,Personal Care
quick keyboard fee,Shopping
daily hospital bill,Health
fruits subscription,Groceries
cab fare expense,Transport
extra cake payment,Food
urgent steam games purchase,Entertainment
monthly karaoke premium,Entertainment
extra birthday gift bill,Gifts
quick gift wrap purchase,Gifts
quick gift purchase fee,Gifts
insta hotel booking fee,Travel
urgent flat rent recharge,Rent
late night mobile recharge recharge,Bills
quick certification fee bill,Education
urgent keyboard fee,Shopping
daily keyboard order,Shopping
monthly react course order,Education
urgent steam games order,Entertainment
late night internet recharge bill,Bills
online apartment rent premium,Rent
urgent holiday booking payment,Travel
kfc subscription,Food
daily medicine,Health
quick makeup kit subscription,Personal Care
urgent loan emi premium,Bills
daily watch premium,Shopping
daily spotify premium order,Entertainment
daily service charge,Others
dress premium,Shopping
credit card bill bill,Bills
insta vacation cab fee,Travel
urgent body spray order,Personal Care
quick bike petrol premium,Transport
extra udemy course purchase,Education
late night beard trim,Personal Care
monthly service charge subscription,Others
insta pizza recharge,Food
extra react course fee,Education
monthly gift purchase fee,Gifts
monthly youtube premium premium,Entertainment
quick loan emi subscription,Bills
monthly etf purchase expense,Investment
daily ml course fee,Education
mobile recharge order,Bills
extra flat rent expense,Rent
extra donation purchase,Others
insta instamart order,Groceries
quick usb cable fee,Shopping
online monthly salary,Salary
insta dental checkup premium,Health
gift card premium,Gifts
online fried rice premium,Food
late night cake order,Food
late night pubg uc bill,Entertainment
urgent local train payment,Transport
daily dmart order,Groceries
urgent idli bill,Food
quick flipkart shopping expense,Shopping
daily apartment rent payment,Rent
daily burger fee,Food
monthly dominos bill,Food
late night mess fee purchase,Food
insta sugar payment,Groceries
late night dress,Shopping
toiletries payment,Personal Care
urgent taxi fare premium,Transport
daily unexpected expense fee,Others
online bitcoin subscription,Investment
mobile recharge,Bills
online bank penalty subscription,Others
insta bigbasket recharge,Groceries
quick swiggy order purchase,Food
extra metro premium,Transport
insta stationery recharge,Shopping
lunch purchase,Food
late night eb bill payment,Bills
insta ola cab subscription,Transport
insta hospital bill purchase,Health
extra mouse subscription,Shopping
late night fruits bill,Groceries
daily ml course bill,Education
monthly parking fee,Transport
urgent honeymoon trip bill,Travel
late night stock purchase bill,Investment
late night eye test purchase,Health
quick salary deposit recharge,Salary
urgent stock purchase fee,Investment
urgent laptop stand fee,Shopping
insta medical shop,Health
dmart,Groceries
daily online course fee,Education
daily salt fee,Groceries
monthly diesel expense,Transport
online gas bill subscription,Bills
daily credit card bill,Bills
monthly mess fee recharge,Food
insta keyboard bill,Shopping
jio recharge bill,Bills
daily react course purchase,Education
online gift wrap,Gifts
monthly exam fee fee,Education
online laptop stand order,Shopping
online metro subscription,Transport
insta notes xerox recharge,Education
extra udemy course premium,Education
steam games bill,Entertainment
quick beard trim bill,Personal Care
daily free fire diamonds payment,Entertainment
watch bill,Shopping
late night petrol purchase,Transport
monthly bread recharge,Groceries
daily rapido expense,Transport
monthly trip food premium,Travel
online parking fee recharge,Transport
late night juice subscription,Food
online free fire diamonds bill,Entertainment
daily netflix,Entertainment
quick groww investment,Investment
mutual fund recharge,Investment
monthly dth recharge purchase,Bills
urgent share auto purchase,Transport
urgent unexpected expense premium,Others
quick bonus amount recharge,Salary
extra honeymoon trip fee,Travel
quick water bill payment,Bills
daily makeup kit,Personal Care
insta hair cut fee,Personal Care
ml course expense,Education
quick shoes subscription,Shopping
monthly jio recharge expense,Bills
online cash given purchase,Others
extra amirthanjan order,Health
online dosa payment,Food
monthly vitamin tablets bill,Health
extra vacation cab order,Travel
jio recharge bill,Bills
late night eb bill premium,Bills
daily eggs expense,Groceries
daily wifi bill premium,Bills
extra unknown expense subscription,Others
late night subscription payment payment,Bills
quick salon expense bill,Personal Care
online notes xerox premium,Education
insta canteen food premium,Food
insta salary deposit expense,Salary
quick paneer fee,Groceries
urgent dth recharge recharge,Bills
online doctor visit expense,Health
urgent laptop stand expense,Shopping
quick ice cream order,Food
late night sugar expense,Groceries
quick salary income recharge,Salary
quick gift card,Gifts
vitamin tablets expense,Health
monthly bus ticket,Transport
daily coursera subscription purchase,Education
quick flight ticket purchase,Travel
insta college fee order,Education
monthly keyboard purchase,Shopping
online dosa expense,Food
insta diesel expense,Transport
daily pubg uc order,Entertainment
daily cab fare fee,Transport
loan emi bill,Bills
monthly vitamin tablets recharge,Health
monthly gaming bill,Entertainment
hospital bill,Health
fish bill,Groceries
urgent vegetables,Groceries
monthly charger premium,Shopping
insta oil packet payment,Groceries
late night uber auto,Transport
insta gold investment fee,Investment
extra bigbasket bill,Groceries
insta semester fee expense,Education
college fee payment,Education
extra mobile recharge payment,Bills
urgent rent payment order,Rent
daily unknown expense payment,Others
daily react course recharge,Education
soap,Personal Care
urgent college fee fee,Education
urgent mutual fund subscription,Investment
monthly hair cut order,Personal Care
insta cash given purchase,Others
online myntra order,Shopping
online chicken rice bill,Food
daily stationery subscription,Shopping
insta movie ticket bill,Entertainment
react course order,Education
insta groww investment bill,Investment
daily stationery bill,Shopping
monthly nail cutter recharge,Personal Care
online amazon prime expense,Entertainment
quick bike service payment,Transport
online gas bill purchase,Bills
late night rent payment order,Rent
extra protein powder expense,Health
insta metro recharge,Transport
quick parking fee,Transport
late night misc expense recharge,Others
extra bank penalty payment,Others
extra rent payment payment,Rent
quick gift purchase fee,Gifts
daily mobile recharge subscription,Bills
monthly bigbasket expense,Groceries
insta toiletries premium,Personal Care
subscription payment bill,Bills
extra udemy course,Education
extra bigbasket bill,Groceries
daily jeans payment,Shopping
extra flipkart shopping order,Shopping
daily parking fee order,Transport
monthly shirt payment,Shopping
quick groww investment recharge,Investment
python course payment,Education
extra trading money,Investment
daily tea recharge,Food
mouse fee,Shopping
late night myntra order premium,Shopping
urgent ml course,Education
online fruits recharge,Groceries
insta juice expense,Food
insta face wash,Personal Care
late night semester fee order,Education
late night birthday gift recharge,Gifts
extra myntra order order,Shopping
monthly outstation train bill,Travel
fine amount purchase,Others
online hotel booking order,Travel
hostel rent payment,Rent
daily amazon order,Shopping
urgent gift wrap recharge,Gifts
online parotta premium,Food
extra credit card bill expense,Bills
online eb bill recharge,Bills
late night butter expense,Groceries
urgent hair cut,Personal Care
urgent fine amount payment,Others
urgent honeymoon trip purchase,Travel
urgent internship stipend fee,Salary
daily share auto subscription,Transport
online friend gift purchase,Gifts
daily broadband bill fee,Bills
extra festival expense,Others
urgent sugar fee,Groceries
extra youtube premium fee,Entertainment
insta random payment subscription,Others
extra youtube premium expense,Entertainment
extra apollo pharmacy expense,Health
late night bread order,Groceries
quick water bill purchase,Bills
monthly jio recharge purchase,Bills
extra bonus amount fee,Salary
quick spotify premium expense,Entertainment
extra share auto purchase,Transport
daily zepto,Groceries
monthly salary deposit premium,Salary
daily certification fee payment,Education
late night skin care order,Personal Care
netflix order,Entertainment
extra local train bill,Transport
late night laptop stand,Shopping
quick face wash premium,Personal Care
daily netflix fee,Entertainment
online fine amount payment,Others
urgent ml course expense,Education
online eggs fee,Groceries
late night coursera subscription order,Education
daily credit card bill purchase,Bills
notes xerox subscription,Education
extra tea payment,Food
late night charger subscription,Shopping
insta eggs expense,Groceries
extra bitcoin bill,Investment
late night uber auto purchase,Transport
daily friend gift,Gifts
travel bag purchase,Travel
urgent auto fare premium,Transport
online rapido purchase,Transport
urgent myntra order,Shopping
urgent water bill payment,Bills
urgent fried rice purchase,Food
quick butter,Groceries
online dinner,Food
monthly groww investment expense,Investment
urgent amazon prime order,Entertainment
online local train recharge,Transport
online electricity bill subscription,Bills
shirt expense,Shopping
monthly family gift subscription,Gifts
daily biryani order,Food
quick college fee bill,Education
online dosa order,Food
quick broadband bill order,Bills
urgent eb bill recharge,Bills
late night taxi fare,Transport
insta monthly salary bill,Salary
extra oil packet fee,Groceries
daily parking fee payment,Transport
netflix purchase,Entertainment
urgent cash given payment,Others
burger,Food
urgent milk payment,Groceries
quick parking fee order,Transport
late night charger premium,Shopping
online juice,Food
online dress expense,Shopping
monthly tour package expense,Travel
online cash given recharge,Others
extra youtube premium fee,Entertainment
monthly makeup kit expense,Personal Care
online dental checkup payment,Health
daily vitamin tablets premium,Health
monthly cake purchase,Food
late night chicken premium,Groceries
late night bitcoin,Investment
late night internet recharge premium,Bills
extra book purchase payment,Education
online wifi bill bill,Bills
insta makeup kit subscription,Personal Care
extra room rent purchase,Rent
dominos payment,Food
daily flipkart shopping payment,Shopping
urgent concert ticket purchase,Entertainment
insta random payment bill,Others
crypto investment expense,Investment
quick fine amount payment,Others
soap,Personal Care
steam games subscription,Entertainment
urgent canteen food payment,Food
airtel recharge bill,Bills
quick freelance payment,Salary
monthly vegetables payment,Groceries
eb bill purchase,Bills
urgent juice subscription,Food
service charge order,Others
monthly water bill premium,Bills
ola cab payment,Transport
insta pubg uc expense,Entertainment
online paneer,Groceries
daily lunch subscription,Food
online juice bill,Food
quick dmart premium,Groceries
quick petrol payment,Transport
extra free fire diamonds bill,Entertainment
late night house rent bill,Rent
late night birthday gift bill,Gifts
urgent salary income expense,Salary
urgent earbuds purchase,Shopping
extra chicken rice expense,Food
late night freelance payment purchase,Salary
quick semester fee order,Education
extra eggs fee,Groceries
quick medical shop fee,Health
late night hotstar recharge,Entertainment
auto fare expense,Transport
extra cash given fee,Others
quick friend gift bill,Gifts
extra tour package purchase,Travel
quick vegetables,Groceries
monthly anniversary gift,Gifts
extra travel bag purchase,Travel
daily usb cable fee,Shopping
ola cab recharge,Transport
dental checkup,Health
quick usb cable purchase,Shopping
extra water bill payment,Bills
monthly dominos order,Food
daily metro fee,Transport
urgent flat rent subscription,Rent
late night bag recharge,Shopping
online taxi fare payment,Transport
daily resort booking order,Travel
daily body spray subscription,Personal Care
urgent monthly salary subscription,Salary
extra mouse purchase,Shopping
quick share auto expense,Transport
monthly subscription payment recharge,Bills
insta amazon order premium,Shopping
quick atta,Groceries
parking fee subscription,Transport
youtube premium premium,Entertainment
urgent movie ticket bill,Entertainment
online earbuds purchase,Shopping
insta parotta bill,Food
monthly bus ticket fee,Transport
daily dmart fee,Groceries
insta loan emi order,Bills
daily music subscription subscription,Entertainment
late night youtube premium fee,Entertainment
bag order,Shopping
insta usb cable expense,Shopping
urgent bank penalty expense,Others
extra gaming subscription,Entertainment
daily keyboard premium,Shopping
extra fruits expense,Groceries
insta tuition fee expense,Education
late night dal subscription,Groceries
urgent unexpected expense fee,Others
online fine amount expense,Others
vitamin tablets fee,Health
late night tshirt expense,Shopping
late night netflix payment,Entertainment
monthly mobile cover premium,Shopping
subscription payment subscription,Bills
daily earbuds bill,Shopping
swiggy order payment,Food
quick gaming payment,Entertainment
quick juice payment,Food
daily share auto purchase,Transport
extra hotstar payment,Entertainment
monthly charger,Shopping
monthly python course fee,Education
gas bill payment,Bills
online pizza bill,Food
online honeymoon trip order,Travel
paneer purchase,Groceries
online dental checkup,Health
extra exam fee premium,Education
late night airtel recharge bill,Bills
insta dress recharge,Shopping
online milk subscription,Groceries
monthly chicken bill,Groceries
monthly semester fee,Education
extra house rent fee,Rent
late night vitamin tablets order,Health
online outstation train recharge,Travel
monthly laptop stand purchase,Shopping
monthly fuel refill recharge,Transport
online sugar premium,Groceries
urgent coursera subscription bill,Education
insta dal subscription,Groceries
monthly myntra order subscription,Shopping
urgent spotify premium fee,Entertainment
monthly random payment recharge,Others
online cash given purchase,Others
quick gas bill recharge,Bills
insta beard trim premium,Personal Care
late night share auto premium,Transport
urgent trip food premium,Travel
extra dth recharge expense,Bills
late night music subscription fee,Entertainment
online donation premium,Others
daily doctor visit recharge,Health
insta amazon order premium,Shopping
online juice purchase,Food
quick zomato order premium,Food
late night oil packet fee,Groceries
late night bank penalty payment,Others
internet recharge recharge,Bills
online gaming order,Entertainment
ice cream,Food
daily parking fee,Transport
daily mouse subscription,Shopping
online notes xerox subscription,Education
mobile cover purchase,Shopping
online cash received order,Others
monthly dental checkup recharge,Health
daily etf purchase expense,Investment
misc expense payment,Others
online lunch recharge,Food
quick fine amount expense,Others
insta amirthanjan,Health
late night mouse recharge,Shopping
late night mutual fund bill,Investment
monthly resort booking expense,Travel
monthly shampoo expense,Personal Care
late night certification fee expense,Education
quick dmart,Groceries
late night ice cream,Food
urgent health checkup expense,Health
insta monthly salary bill,Salary
insta skin care recharge,Personal Care
insta jeans purchase,Shopping
insta company salary,Salary
mobile cover expense,Shopping
online cash given recharge,Others
urgent watch subscription,Shopping
postpaid bill bill,Bills
extra cab fare bill,Transport
extra cake fee,Food
online unexpected expense order,Others
monthly book purchase recharge,Education
daily burger payment,Food
free fire diamonds,Entertainment
daily cash given subscription,Others
insta cash given recharge,Others
insta helmet order,Shopping
quick travel bag order,Travel
late night face wash payment,Personal Care
insta chicken rice fee,Food
late night fried rice bill,Food
extra shoes purchase,Shopping
crypto investment payment,Investment
late night chicken rice recharge,Food
urgent amazon prime purchase,Entertainment
daily online course,Education
quick pubg uc,Entertainment
late night dal,Groceries
daily mobile recharge bill,Bills
extra makeup kit premium,Personal Care
late night atta fee,Groceries
late night share auto,Transport
insta makeup kit,Personal Care
cash given order,Others
dominos expense,Food
monthly salary deposit premium,Salary
daily fish order,Groceries
share auto fee,Transport
skin care recharge,Personal Care
late night vacation cab premium,Travel
shoes fee,Shopping
late night myntra order fee,Shopping
daily internet recharge subscription,Bills
insta friend gift,Gifts
urgent beach resort expense,Travel
urgent cycle cover payment,Shopping
quick dental checkup premium,Health
extra online course,Education
online youtube premium purchase,Entertainment
monthly petrol order,Transport
insta rice fee,Groceries
urgent spotify premium purchase,Entertainment
juice,Food
monthly vitamin tablets fee,Health
quick broadband bill fee,Bills
quick rapido payment,Transport
monthly monthly rent premium,Rent
monthly medical shop recharge,Health
quick water bill fee,Bills
daily python course order,Education
extra charger premium,Shopping
insta shoes order,Shopping
monthly zepto payment,Groceries
daily shawarma premium,Food
eye test expense,Health
daily travel bag subscription,Travel
monthly snacks premium,Food
late night swiggy order payment,Food
online house rent expense,Rent
online kfc subscription,Food
extra apollo pharmacy premium,Health
monthly online course order,Education
online hotstar bill,Entertainment
urgent usb cable premium,Shopping
quick chicken bill,Groceries
late night online course,Education
insta spotify premium subscription,Entertainment
daily jio recharge fee,Bills
extra ola cab,Transport
monthly uber auto order,Transport
extra shawarma fee,Food
react course fee,Education
insta medical shop,Health
extra flight ticket expense,Travel
late night ola cab subscription,Transport
insta gift card,Gifts
monthly pizza recharge,Food
daily gym fee subscription,Health
quick room rent subscription,Rent
extra cake payment,Food
extra loan emi purchase,Bills
daily body spray bill,Personal Care
online electricity bill premium,Bills
kfc expense,Food
late night cash received premium,Others
urgent bike service fee,Transport
trip expense purchase,Travel
quick freelance payment premium,Salary
quick pg rent premium,Rent
milk bill,Groceries
online stationery fee,Shopping
quick instamart order,Groceries
extra rice purchase,Groceries
insta laptop stand payment,Shopping
quick resort booking recharge,Travel
hotel booking bill,Travel
late night airtel recharge order,Bills
coffee order,Food
quick crypto investment order,Investment
daily online course recharge,Education
daily gaming,Entertainment
online service charge recharge,Others
urgent freelance payment subscription,Salary
extra friend gift subscription,Gifts
quick cake payment,Food
extra canteen food order,Food
late night gold investment order,Investment
online credit card bill payment,Bills
monthly health checkup recharge,Health
urgent uber auto purchase,Transport
monthly book purchase expense,Education
late night rice,Groceries
daily clinic fee bill,Health
extra cheese expense,Groceries
insta parotta premium,Food
urgent soap expense,Personal Care
online amazon order bill,Shopping
insta freelance payment purchase,Salary
quick movie ticket payment,Entertainment
quick udemy course premium,Education
daily juice bill,Food
monthly spotify premium,Entertainment
quick swiggy order payment,Food
daily mess fee order,Food
monthly swiggy order recharge,Food
extra tour package expense,Travel
extra vegetables expense,Groceries
extra water bill order,Bills
late night medical shop fee,Health
urgent trip food expense,Travel
late night apartment rent order,Rent
insta helmet bill,Shopping
freelance payment subscription,Salary
urgent watch fee,Shopping
extra cash given subscription,Others
local train order,Transport
daily canteen food payment,Food
urgent salary deposit payment,Salary
extra keyboard bill,Shopping
quick bike petrol payment,Transport
quick chicken rice,Food
late night butter payment,Groceries
quick mouse expense,Shopping
monthly house rent payment,Rent
nail cutter bill,Personal Care
snacks purchase,Food
paneer recharge,Groceries
online parotta recharge,Food
urgent gift wrap bill,Gifts
urgent stationery premium,Shopping
daily cash given payment,Others
online trip expense fee,Travel
online train pass subscription,Transport
late night myntra order premium,Shopping
cab fare,Transport
monthly hotel booking bill,Travel
extra zomato order,Food
daily stationery expense,Shopping
daily mobile recharge subscription,Bills
late night zomato order recharge,Food
late night flipkart shopping bill,Shopping
insta parking fee fee,Transport
daily tshirt recharge,Shopping
extra monthly salary fee,Salary
late night amazon order,Shopping
quick karaoke payment,Entertainment
urgent monthly rent subscription,Rent
monthly fine amount bill,Others
quick wifi bill payment,Bills
online apartment rent,Rent
online usb cable payment,Shopping
urgent house rent purchase,Rent
monthly amazon order order,Shopping
urgent sugar purchase,Groceries
online vitamin tablets recharge,Health
quick local train purchase,Transport
daily react course payment,Education
quick bonus amount expense,Salary
quick stationery payment,Shopping
daily pubg uc purchase,Entertainment
ml course payment,Education
monthly family gift subscription,Gifts
urgent toiletries fee,Personal Care
monthly internet recharge purchase,Bills
extra travel bag subscription,Travel
online resort booking order,Travel
monthly jeans purchase,Shopping
monthly subscription payment premium,Bills
insta medicine,Health
ola cab subscription,Transport
insta salt order,Groceries
late night metro premium,Transport
daily toiletries recharge,Personal Care
monthly airtel recharge purchase,Bills
extra salary deposit purchase,Salary
insta monthly rent payment,Rent
monthly bank penalty recharge,Others
insta react course payment,Education
monthly amirthanjan purchase,Health
daily gaming subscription,Entertainment
online tour package bill,Travel
daily apollo pharmacy purchase,Health
monthly face wash payment,Personal Care
monthly chicken premium,Groceries
daily body spray fee,Personal Care
online udemy course purchase,Education
monthly eggs,Groceries
monthly charger bill,Shopping
daily eye test payment,Health
urgent mobile cover subscription,Shopping
late night flipkart shopping order,Shopping
online pizza subscription,Food
monthly cheese,Groceries
late night parking fee fee,Transport
extra repair work subscription,Others
late night karaoke bill,Entertainment
quick fuel refill expense,Transport
daily bread omelette fee,Food
monthly fruits expense,Groceries
urgent cake recharge,Food
online pizza premium,Food
online jio recharge recharge,Bills
cash received order,Others
extra eb bill purchase,Bills
monthly repair work,Others
monthly credit card bill,Bills
daily anniversary gift order,Gifts
donation payment,Others
monthly nail cutter subscription,Personal Care
late night amazon prime,Entertainment
monthly semester fee fee,Education
monthly beard trim recharge,Personal Care
urgent internet recharge order,Bills
daily vacation cab order,Travel
urgent parking fee payment,Transport
monthly unknown expense expense,Others
hotel booking premium,Travel
salt fee,Groceries
late night bank penalty bill,Others
online vegetables order,Groceries
late night coursera subscription recharge,Education
daily react course subscription,Education
urgent biryani,Food
bike service subscription,Transport
online stationery,Shopping
insta rapido order,Transport
monthly tuition fee subscription,Education
online bitcoin,Investment
quick jio recharge recharge,Bills
extra chicken rice,Food
daily random payment order,Others
gift purchase expense,Gifts
rent payment fee,Rent
daily dosa,Food
late night hair cut order,Personal Care
zerodha expense,Investment
insta flat rent expense,Rent
late night hospital bill recharge,Health
urgent online course,Education
insta fried rice payment,Food
extra share auto premium,Transport
eggs bill,Groceries
late night apollo pharmacy purchase,Health
extra dress premium,Shopping
quick swiggy order bill,Food
daily milk,Groceries
late night credit card bill bill,Bills
extra dth recharge subscription,Bills
insta holiday booking,Travel
late night gift card fee,Gifts
urgent fried rice expense,Food
urgent service charge bill,Others
insta rice expense,Groceries
online parking fee payment,Transport
monthly fruits bill,Groceries
late night friend gift order,Gifts
dental checkup payment,Health
online gaming premium,Entertainment
online cab fare premium,Transport
monthly salon expense bill,Personal Care
urgent misc expense bill,Others
atta,Groceries
quick tea bill,Food
late night bike service purchase,Transport
quick hostel rent recharge,Rent
extra taxi fare order,Transport
daily friend gift premium,Gifts
late night subway bill,Food
insta cab fare purchase,Transport
quick vegetables subscription,Groceries
monthly juice bill,Food
stationery subscription,Shopping
daily college fee premium,Education
monthly keyboard bill,Shopping
online house rent recharge,Rent
online bag bill,Shopping
daily coffee subscription,Food
quick water bill expense,Bills
late night friend gift bill,Gifts
urgent bag recharge,Shopping
extra dal expense,Groceries
urgent tour package payment,Travel
online rice fee,Groceries
quick skin care payment,Personal Care
daily pubg uc purchase,Entertainment
burger premium,Food
online auto fare,Transport
eb bill recharge,Bills
quick certification fee order,Education
late night vegetables recharge,Groceries
online steam games purchase,Entertainment
urgent rent payment order,Rent
monthly fruits premium,Groceries
online bread omelette order,Food
quick mutual fund order,Investment
freelance payment premium,Salary
urgent canteen food premium,Food
online flipkart shopping subscription,Shopping
urgent rice purchase,Groceries
extra jeans subscription,Shopping
late night online course subscription,Education
daily helmet premium,Shopping
daily fish fee,Groceries
urgent mobile recharge purchase,Bills
monthly share auto bill,Transport
extra semester fee subscription,Education
stock purchase premium,Investment
urgent myntra order expense,Shopping
insta usb cable recharge,Shopping
insta bonus amount fee,Salary
dth recharge premium,Bills
online bike service premium,Transport
daily rapido recharge,Transport
urgent apollo pharmacy,Health
daily watch premium,Shopping
extra donation,Others
insta bus ticket,Transport
insta face wash recharge,Personal Care
quick usb cable subscription,Shopping
insta keyboard purchase,Shopping
late night amazon prime premium,Entertainment
urgent monthly salary recharge,Salary
insta gas bill recharge,Bills
monthly jio recharge,Bills
extra tea payment,Food
extra zomato order,Food
monthly myntra order bill,Shopping
late night usb cable expense,Shopping
quick hair cut order,Personal Care
online canteen food expense,Food
urgent gaming fee,Entertainment
quick eggs bill,Groceries
urgent kfc payment,Food
daily eb bill purchase,Bills
extra gift wrap subscription,Gifts
daily dental checkup expense,Health
online notes xerox,Education
daily jeans purchase,Shopping
bus ticket bill,Transport
cycle cover fee,Shopping
extra airtel recharge expense,Bills
daily cash given recharge,Others
late night company salary expense,Salary
salary credited premium,Salary
monthly bank penalty subscription,Others
online fried rice payment,Food
daily family gift recharge,Gifts
insta parking fee recharge,Transport
insta online course,Education
late night dinner order,Food
monthly broadband bill,Bills
extra paneer fee,Groceries
insta bonus amount fee,Salary
dental checkup purchase,Health
daily auto fare subscription,Transport
quick makeup kit payment,Personal Care
late night uber auto,Transport
late night rice expense,Groceries
monthly zerodha order,Investment
monthly house rent purchase,Rent
daily apollo pharmacy expense,Health
daily dth recharge order,Bills
late night bike petrol subscription,Transport
quick amazon order bill,Shopping
quick nail cutter order,Personal Care
daily exam fee payment,Education
monthly makeup kit premium,Personal Care
online watch,Shopping
online auto fare subscription,Transport
late night fried rice premium,Food
monthly zepto premium,Groceries
insta surprise gift subscription,Gifts
quick donation payment,Others
extra ice cream order,Food
monthly groww investment payment,Investment
extra eb bill purchase,Bills
monthly dental checkup fee,Health
daily earbuds,Shopping
bank penalty recharge,Others
monthly unexpected expense order,Others
dth recharge premium,Bills
urgent salary income purchase,Salary
