elapsedDay,daysInMonth,progressRatio,spentSoFar,forecastableSpentSoFar,recurringCommittedTotal,recurringSpentSoFar,recurringPending,mtdTransactionCount,dailyTransactionFrequency,dailySpendVelocity,trailing3MonthAverage,trailing6MonthMedian,historicalTheilSenSlope,residualMad,topCategoryShare,categoryEntropy,cat_Food,cat_Transport,cat_Shopping,cat_Bills,cat_Entertainment,cat_Groceries,cat_Health,cat_Education,cat_Travel,cat_Rent,cat_Investment,cat_Salary,cat_Personal Care,cat_Gifts,cat_Others,remainingSpend
5,30,0.1667,19682.08,19682.08,26399.43,17980.56,8418.87,7,1.4,3936.42,34979.81,33886.95,216.8598,1084.24,0.5289,1.2639,0.0247,0.0438,0.0148,0.2478,0.0,0.1369,0.0,0.0,0.0,0.5289,0.0,0.0,0.0,0.0,0.0032,13787.45
8,30,0.2667,19682.08,19682.08,26399.43,17980.56,8418.87,7,0.875,2460.26,34979.81,33886.95,216.8598,1084.24,0.5289,1.2639,0.0247,0.0438,0.0148,0.2478,0.0,0.1369,0.0,0.0,0.0,0.5289,0.0,0.0,0.0,0.0,0.0032,13787.45
12,30,0.4,23623.06,23623.06,26399.43,20841.55,5557.88,10,0.8333,1968.59,34979.81,33886.95,216.8598,1084.24,0.4407,1.4389,0.0206,0.0365,0.0247,0.2064,0.0,0.2351,0.0,0.0,0.0,0.4407,0.0,0.0,0.0,0.0,0.0361,9846.47
15,30,0.5,23669.3,23669.3,26399.43,20841.55,5557.88,11,0.7333,1577.95,34979.81,33886.95,216.8598,1084.24,0.4398,1.4436,0.0225,0.0364,0.0246,0.206,0.0,0.2347,0.0,0.0,0.0,0.4398,0.0,0.0,0.0,0.0,0.036,9800.23
18,30,0.6,26986.41,26986.41,26399.43,23672.84,2726.59,13,0.7222,1499.25,34979.81,33886.95,216.8598,1084.24,0.3858,1.4653,0.0377,0.0319,0.0216,0.1807,0.0,0.3108,0.0,0.0,0.0,0.3858,0.0,0.0,0.0,0.0,0.0316,6483.12
22,30,0.7333,27499.76,27499.76,26399.43,23672.84,2726.59,16,0.7273,1249.99,34979.81,33886.95,216.8598,1084.24,0.3786,1.5217,0.043,0.0344,0.0212,0.1773,0.0096,0.305,0.0,0.0,0.0,0.3786,0.0,0.0,0.0,0.0,0.031,5969.77
25,30,0.8333,30525.47,30525.47,26399.43,26399.43,0,19,0.76,1221.02,34979.81,33886.95,216.8598,1084.24,0.364,1.5078,0.0418,0.031,0.0191,0.1598,0.0154,0.364,0.0,0.0,0.0,0.341,0.0,0.0,0.0,0.0,0.0279,2944.06
28,30,0.9333,33112.16,33112.16,26399.43,26399.43,0,22,0.7857,1182.58,34979.81,33886.95,216.8598,1084.24,0.3356,1.6691,0.0774,0.0286,0.0176,0.1473,0.0335,0.3356,0.0,0.0,0.0,0.3144,0.0,0.0,0.02,0.0,0.0257,357.37
1,30,0.0333,13002.64,13002.64,24983.32,13002.64,11980.68,2,2.0,13002.64,33504.69,33542.48,160.5115,980.84,0.8006,0.4995,0.0,0.0,0.0,0.0,0.0,0.1994,0.0,0.0,0.0,0.8006,0.0,0.0,0.0,0.0,0.0,19347.2
3,30,0.1,14662.31,13402.64,24983.32,13002.64,11980.68,3,1.0,4887.44,33504.69,33542.48,160.5115,980.84,0.71,0.7961,0.1132,0.0,0.0,0.0,0.0,0.1768,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,17687.53
5,30,0.1667,20572.1,19312.43,24983.32,18080.08,6903.24,6,1.2,4114.42,33504.69,33542.48,160.5115,980.84,0.506,1.3118,0.0807,0.022,0.0,0.2468,0.0,0.126,0.0,0.0,0.0,0.506,0.0,0.0,0.0185,0.0,0.0,11777.74
8,30,0.2667,20619.3,19359.63,24983.32,18080.08,6903.24,7,0.875,2577.41,33504.69,33542.48,160.5115,980.84,0.5049,1.3145,0.0828,0.0219,0.0,0.2462,0.0,0.1257,0.0,0.0,0.0,0.5049,0.0,0.0,0.0185,0.0,0.0,11730.54
12,30,0.4,23589.33,22329.66,24983.32,20417.17,4566.15,10,0.8333,1965.78,33504.69,33542.48,160.5115,980.84,0.4413,1.4275,0.0724,0.0191,0.0,0.2152,0.0019,0.209,0.0,0.0,0.0,0.4413,0.0,0.0,0.0411,0.0,0.0,8760.51
15,30,0.5,24256.18,22996.51,24983.32,20417.17,4566.15,12,0.8,1617.08,33504.69,33542.48,160.5115,980.84,0.4292,1.4686,0.0704,0.0186,0.0,0.2093,0.0018,0.2032,0.0,0.0,0.0,0.4292,0.0,0.0,0.0674,0.0,0.0,8093.66
18,30,0.6,26609.9,25350.23,24983.32,22621.2,2362.12,15,0.8333,1478.33,33504.69,33542.48,160.5115,980.84,0.3912,1.4751,0.0684,0.0183,0.0,0.1908,0.0017,0.2681,0.0,0.0,0.0,0.3912,0.0,0.0,0.0615,0.0,0.0,5739.94
22,30,0.7333,29547.47,28287.8,24983.32,24983.32,0,17,0.7727,1343.07,33504.69,33542.48,160.5115,980.84,0.3523,1.5157,0.0616,0.0165,0.0,0.1718,0.021,0.3214,0.0,0.0,0.0,0.3523,0.0,0.0,0.0554,0.0,0.0,2802.37
25,30,0.8333,30099.85,28840.18,24983.32,24983.32,0,18,0.72,1203.99,33504.69,33542.48,160.5115,980.84,0.3459,1.5367,0.0789,0.0162,0.0,0.1687,0.0206,0.3155,0.0,0.0,0.0,0.3459,0.0,0.0,0.0543,0.0,0.0,2249.99
28,30,0.9333,32278.83,29320.08,24983.32,24983.32,0,20,0.7143,1152.82,33504.69,33542.48,160.5115,980.84,0.3225,1.5994,0.0735,0.0151,0.0,0.1573,0.0192,0.2942,0.0,0.0,0.0,0.3225,0.0,0.0,0.1182,0.0,0.0,71.01
1,30,0.0333,13721.4,13721.4,26335.21,12918.3,13416.91,3,3.0,13721.4,33082.83,33542.48,-75.9667,983.63,0.7587,0.6863,0.0,0.0,0.0,0.0,0.0,0.1828,0.0,0.0,0.0,0.7587,0.0,0.0,0.0,0.0,0.0585,20671.11
3,30,0.1,13721.4,13721.4,26335.21,12918.3,13416.91,3,1.0,4573.8,33082.83,33542.48,-75.9667,983.63,0.7587,0.6863,0.0,0.0,0.0,0.0,0.0,0.1828,0.0,0.0,0.0,0.7587,0.0,0.0,0.0,0.0,0.0585,20671.11
5,30,0.1667,19987.84,19987.84,26335.21,18461.34,7873.87,5,1.0,3997.57,33082.83,33542.48,-75.9667,983.63,0.5208,1.2052,0.0,0.0,0.0362,0.2773,0.0,0.1255,0.0,0.0,0.0,0.5208,0.0,0.0,0.0,0.0,0.0402,14404.67
8,30,0.2667,21237.62,21237.62,26335.21,18461.34,7873.87,7,0.875,2654.7,33082.83,33542.48,-75.9667,983.63,0.4902,1.3599,0.0,0.0,0.0546,0.261,0.0383,0.1181,0.0,0.0,0.0,0.4902,0.0,0.0,0.0,0.0,0.0378,13154.89
12,30,0.4,24003.46,24003.46,26335.21,21081.21,5254.0,9,0.75,2000.29,33082.83,33542.48,-75.9667,983.63,0.4337,1.4363,0.0061,0.0,0.0483,0.2309,0.0339,0.2136,0.0,0.0,0.0,0.4337,0.0,0.0,0.0,0.0,0.0335,10389.05
15,30,0.5,24623.97,24623.97,26335.21,21081.21,5254.0,10,0.6667,1641.6,33082.83,33542.48,-75.9667,983.63,0.4228,1.5177,0.0059,0.0,0.0471,0.2251,0.033,0.2083,0.0,0.0,0.0,0.4228,0.0,0.0,0.0252,0.0,0.0326,9768.54
18,30,0.6,27033.84,27033.84,26335.21,23491.08,2844.13,11,0.6111,1501.88,33082.83,33542.48,-75.9667,983.63,0.3851,1.5083,0.0054,0.0,0.0429,0.205,0.0301,0.2788,0.0,0.0,0.0,0.3851,0.0,0.0,0.023,0.0,0.0297,7358.67
22,30,0.7333,30512.29,27506.16,26335.21,23491.08,2844.13,13,0.5909,1386.92,33082.83,33542.48,-75.9667,983.63,0.3412,1.6278,0.0048,0.0,0.038,0.1817,0.0266,0.247,0.0,0.0,0.0,0.3412,0.0,0.0,0.0227,0.0,0.138,3880.22
25,30,0.8333,33356.42,30350.29,26335.21,26335.21,0,14,0.56,1334.26,33082.83,33542.48,-75.9667,983.63,0.3121,1.5977,0.0044,0.0,0.0348,0.1662,0.0244,0.3112,0.0,0.0,0.0,0.3121,0.0,0.0,0.0208,0.0,0.1262,1036.09
28,30,0.9333,34392.51,31386.38,26335.21,26335.21,0,16,0.5714,1228.3,33082.83,33542.48,-75.9667,983.63,0.3027,1.6719,0.0341,0.0,0.034,0.1612,0.0236,0.3019,0.0,0.0,0.0,0.3027,0.0,0.0,0.0201,0.0,0.1224,0.0
1,30,0.0333,10410.22,10410.22,24995.93,10410.22,14585.71,1,1.0,10410.22,33403.96,33542.48,-75.9667,1059.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22046.81
3,30,0.1,12725.01,12725.01,24995.93,12618.51,12377.42,3,1.0,4241.67,33403.96,33542.48,-75.9667,1059.32,0.8181,0.5082,0.0,0.0084,0.0,0.0,0.0,0.1735,0.0,0.0,0.0,0.8181,0.0,0.0,0.0,0.0,0.0,19732.02
5,30,0.1667,19040.04,19040.04,24995.93,17840.53,7155.4,6,1.2,3808.01,33403.96,33542.48,-75.9667,1059.32,0.5468,1.1491,0.0,0.0056,0.007,0.2743,0.0,0.116,0.0,0.0,0.0,0.5468,0.0,0.0,0.0504,0.0,0.0,13416.99
8,30,0.2667,20206.03,20206.03,24995.93,17840.53,7155.4,8,1.0,2525.75,33403.96,33542.48,-75.9667,1059.32,0.5152,1.2821,0.0,0.0053,0.0643,0.2584,0.0,0.1093,0.0,0.0,0.0,0.5152,0.0,0.0,0.0475,0.0,0.0,12251.0
12,30,0.4,24359.87,23359.64,24995.93,20551.25,4444.69,11,0.9167,2029.99,33403.96,33542.48,-75.9667,1059.32,0.4274,1.4914,0.0,0.0044,0.0533,0.2144,0.0,0.2019,0.0,0.0,0.0,0.4274,0.0,0.0,0.0394,0.0,0.0592,8097.17
15,30,0.5,24359.87,23359.64,24995.93,20551.25,4444.69,11,0.7333,1623.99,33403.96,33542.48,-75.9667,1059.32,0.4274,1.4914,0.0,0.0044,0.0533,0.2144,0.0,0.2019,0.0,0.0,0.0,0.4274,0.0,0.0,0.0394,0.0,0.0592,8097.17
18,30,0.6,27214.12,26213.89,24995.93,22767.59,2228.35,13,0.7222,1511.9,33403.96,33542.48,-75.9667,1059.32,0.3825,1.5245,0.0,0.0039,0.0477,0.1919,0.0,0.2622,0.0,0.0,0.0,0.3825,0.0,0.0,0.0587,0.0,0.053,5242.92
22,30,0.7333,29087.96,28087.73,24995.93,22767.59,2228.35,16,0.7273,1322.18,33403.96,33542.48,-75.9667,1059.32,0.3579,1.5958,0.0,0.0037,0.0624,0.1795,0.0,0.2453,0.0,0.0,0.0,0.3579,0.0,0.0,0.1016,0.0,0.0496,3369.08
25,30,0.8333,31333.88,30333.65,24995.93,24995.93,0,19,0.76,1253.36,33403.96,33542.48,-75.9667,1059.32,0.3322,1.5756,0.0,0.0034,0.0579,0.1667,0.0,0.2988,0.0,0.0,0.0,0.3322,0.0,0.0,0.0944,0.0,0.0466,1123.15
28,30,0.9333,32457.03,31456.8,24995.93,24995.93,0,21,0.75,1159.18,33403.96,33542.48,-75.9667,1059.32,0.3207,1.6094,0.0,0.0033,0.0776,0.1609,0.0,0.2885,0.0,0.0,0.0,0.3207,0.0,0.0,0.104,0.0,0.045,0.0
1,30,0.0333,12635.96,12635.96,25455.74,12635.96,12819.79,2,2.0,12635.96,33066.46,33449.32,-125.2905,936.45,0.8239,0.4655,0.0,0.0,0.0,0.0,0.0,0.1761,0.0,0.0,0.0,0.8239,0.0,0.0,0.0,0.0,0.0,18529.49
3,30,0.1,12635.96,12635.96,25455.74,12635.96,12819.79,2,0.6667,4211.99,33066.46,33449.32,-125.2905,936.45,0.8239,0.4655,0.0,0.0,0.0,0.0,0.0,0.1761,0.0,0.0,0.0,0.8239,0.0,0.0,0.0,0.0,0.0,18529.49
5,30,0.1667,17790.13,17790.13,25455.74,17675.83,7779.92,5,1.0,3558.03,33066.46,33449.32,-125.2905,936.45,0.5852,0.9677,0.0,0.0,0.0,0.2833,0.0037,0.1251,0.0,0.0,0.0,0.5852,0.0,0.0,0.0,0.0,0.0027,13375.32
8,30,0.2667,22347.78,20860.16,25455.74,20345.86,5109.89,7,0.875,2793.47,33066.46,33449.32,-125.2905,936.45,0.4658,1.2636,0.0,0.0,0.0,0.2255,0.0029,0.2191,0.0845,0.0,0.0,0.4658,0.0,0.0,0.0,0.0,0.0022,8817.67
12,30,0.4,22347.78,20860.16,25455.74,20345.86,5109.89,7,0.5833,1862.31,33066.46,33449.32,-125.2905,936.45,0.4658,1.2636,0.0,0.0,0.0,0.2255,0.0029,0.2191,0.0845,0.0,0.0,0.4658,0.0,0.0,0.0,0.0,0.0022,8817.67
15,30,0.5,22369.63,20882.01,25455.74,20345.86,5109.89,8,0.5333,1491.31,33066.46,33449.32,-125.2905,936.45,0.4654,1.2679,0.0,0.0,0.0,0.2253,0.0039,0.2189,0.0844,0.0,0.0,0.4654,0.0,0.0,0.0,0.0,0.0022,8795.82
18,30,0.6,26027.49,24539.87,25455.74,22917.37,2538.37,11,0.6111,1445.97,33066.46,33449.32,-125.2905,936.45,0.4,1.4157,0.0225,0.0,0.0,0.1936,0.0226,0.2869,0.0725,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0019,5137.95
22,30,0.7333,27059.82,25572.2,25455.74,22917.37,2538.37,14,0.6364,1229.99,33066.46,33449.32,-125.2905,936.45,0.3847,1.544,0.0216,0.0,0.0208,0.1862,0.0217,0.276,0.0698,0.0,0.0,0.3847,0.0,0.0,0.0,0.0,0.0192,4105.62
25,30,0.8333,30812.65,29325.03,25455.74,25455.74,0,16,0.64,1232.51,33066.46,33449.32,-125.2905,936.45,0.3379,1.5823,0.019,0.0,0.0182,0.1636,0.0585,0.3247,0.0613,0.0,0.0,0.3379,0.0,0.0,0.0,0.0,0.0168,352.79
28,30,0.9333,31165.44,29677.82,25455.74,25455.74,0,18,0.6429,1113.05,33066.46,33449.32,-125.2905,936.45,0.334,1.6256,0.0188,0.0,0.018,0.1617,0.0578,0.321,0.0606,0.0,0.0,0.334,0.0,0.0,0.0098,0.0,0.0182,0.0
1,30,0.0333,13046.61,13046.61,25186.46,13046.61,12139.86,2,2.0,13046.61,32671.66,32943.08,-267.5892,625.49,0.7979,0.5033,0.0,0.0,0.0,0.0,0.0,0.2021,0.0,0.0,0.0,0.7979,0.0,0.0,0.0,0.0,0.0,14004.37
3,30,0.1,13135.26,13135.26,25186.46,13046.61,12139.86,4,1.3333,4378.42,32671.66,32943.08,-267.5892,625.49,0.7925,0.5415,0.0,0.0,0.0,0.0,0.0003,0.2007,0.0,0.0,0.0,0.7925,0.0,0.0,0.0065,0.0,0.0,13915.72
5,30,0.1667,18285.31,18285.31,25186.46,18184.85,7001.61,6,1.2,3657.06,32671.66,32943.08,-267.5892,625.49,0.5693,0.988,0.0006,0.0,0.0,0.281,0.0002,0.1442,0.0,0.0,0.0,0.5693,0.0,0.0,0.0047,0.0,0.0,8765.66
8,30,0.2667,18286.28,18286.28,25186.46,18184.85,7001.61,7,0.875,2285.79,32671.66,32943.08,-267.5892,625.49,0.5693,0.9884,0.0006,0.0,0.0,0.281,0.0002,0.1442,0.0,0.0,0.0,0.5693,0.0,0.0,0.0047,0.0,0.0,8764.69
12,30,0.4,21066.38,21066.38,25186.46,20450.69,4735.78,10,0.8333,1755.53,32671.66,32943.08,-267.5892,625.49,0.4942,1.1543,0.0006,0.0,0.0008,0.2439,0.0002,0.2327,0.0,0.0,0.0,0.4942,0.0,0.0,0.004,0.0,0.0236,5984.6
15,30,0.5,23558.91,23558.91,25186.46,22849.37,2337.09,12,0.8,1570.59,32671.66,32943.08,-267.5892,625.49,0.4419,1.1854,0.0005,0.0,0.0008,0.2181,0.0002,0.3099,0.0,0.0,0.0,0.4419,0.0,0.0,0.0076,0.0,0.0211,3492.06
18,30,0.6,24078.41,24078.41,25186.46,22849.37,2337.09,14,0.7778,1337.69,32671.66,32943.08,-267.5892,625.49,0.4323,1.2768,0.0103,0.0118,0.0007,0.2134,0.0002,0.3032,0.0,0.0,0.0,0.4323,0.0,0.0,0.0074,0.0,0.0206,2972.56
22,30,0.7333,24103.6,24103.6,25186.46,22849.37,2337.09,15,0.6818,1095.62,32671.66,32943.08,-267.5892,625.49,0.4319,1.2795,0.0102,0.0118,0.0007,0.2132,0.0002,0.3029,0.0,0.0,0.0,0.4319,0.0,0.0,0.0074,0.0,0.0216,2947.37
25,30,0.8333,26468.45,26468.45,25186.46,25186.46,0,17,0.68,1058.74,32671.66,32943.08,-267.5892,625.49,0.3933,1.2697,0.0093,0.0107,0.0007,0.1941,0.0012,0.3641,0.0,0.0,0.0,0.3933,0.0,0.0,0.0068,0.0,0.0197,582.52
28,30,0.9333,26507.64,26507.64,25186.46,25186.46,0,18,0.6429,946.7,32671.66,32943.08,-267.5892,625.49,0.3927,1.2746,0.0108,0.0107,0.0007,0.1938,0.0012,0.3636,0.0,0.0,0.0,0.3927,0.0,0.0,0.0068,0.0,0.0197,543.33
1,30,0.0333,10515.48,10515.48,26056.84,10410.22,15646.62,2,2.0,10515.48,30224.48,32403.44,-405.6242,894.17,0.99,0.056,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,21430.38
3,30,0.1,13706.36,13706.36,26056.84,13182.71,12874.13,4,1.3333,4568.79,30224.48,32403.44,-405.6242,894.17,0.7595,0.6569,0.0,0.0,0.0382,0.0,0.0,0.2023,0.0,0.0,0.0,0.7595,0.0,0.0,0.0,0.0,0.0,18239.5
5,30,0.1667,19052.76,19052.76,26056.84,18128.21,7928.63,6,1.2,3810.55,30224.48,32403.44,-405.6242,894.17,0.5464,1.1408,0.0,0.021,0.0275,0.2596,0.0,0.1455,0.0,0.0,0.0,0.5464,0.0,0.0,0.0,0.0,0.0,12893.1
8,30,0.2667,21915.44,21915.44,26056.84,20990.89,5065.95,7,0.875,2739.43,30224.48,32403.44,-405.6242,894.17,0.475,1.2012,0.0,0.0183,0.0239,0.2257,0.0,0.2571,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,10030.42
12,30,0.4,21998.15,21998.15,26056.84,20990.89,5065.95,8,0.6667,1833.18,30224.48,32403.44,-405.6242,894.17,0.4732,1.2214,0.0,0.0182,0.0238,0.2248,0.0,0.2562,0.0,0.0,0.0,0.4732,0.0,0.0,0.0038,0.0,0.0,9947.71
15,30,0.5,22219.83,22219.83,26056.84,20990.89,5065.95,10,0.6667,1481.32,30224.48,32403.44,-405.6242,894.17,0.4685,1.2571,0.0,0.018,0.0236,0.2226,0.0,0.2536,0.0,0.0,0.0,0.4685,0.0,0.0,0.0137,0.0,0.0,9726.03
18,30,0.6,25132.94,25132.94,26056.84,23329.5,2727.34,12,0.6667,1396.27,30224.48,32403.44,-405.6242,894.17,0.4142,1.3054,0.0,0.016,0.0437,0.1968,0.0,0.3173,0.0,0.0,0.0,0.4142,0.0,0.0,0.0121,0.0,0.0,6812.92
22,30,0.7333,26036.51,26036.51,26056.84,23329.5,2727.34,13,0.5909,1183.48,30224.48,32403.44,-405.6242,894.17,0.3998,1.4109,0.0,0.0154,0.0422,0.1899,0.0,0.3063,0.0,0.0,0.0,0.3998,0.0,0.0,0.0117,0.0,0.0347,5909.35
25,30,0.8333,29076.64,29076.64,26056.84,26056.84,0,16,0.64,1163.07,30224.48,32403.44,-405.6242,894.17,0.368,1.4025,0.0,0.0138,0.0456,0.1701,0.0,0.368,0.0,0.0,0.0,0.358,0.0,0.0,0.0134,0.0,0.0311,2869.22
28,30,0.9333,31157.48,29855.19,26056.84,26056.84,0,18,0.6429,1112.77,30224.48,32403.44,-405.6242,894.17,0.3435,1.5028,0.0,0.0129,0.0547,0.1587,0.0,0.3435,0.0,0.0,0.0,0.3341,0.0,0.0,0.0125,0.0,0.0836,788.38
1,30,0.0333,13227.32,13227.32,26118.13,13227.32,12890.8,2,2.0,13227.32,30054.09,32147.85,-405.6242,593.32,0.787,0.5179,0.0,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.0,0.787,0.0,0.0,0.0,0.0,0.0,20874.33
3,30,0.1,13532.98,13532.98,26118.13,13227.32,12890.8,3,1.0,4510.99,30054.09,32147.85,-405.6242,593.32,0.7692,0.6141,0.0,0.0,0.0,0.0,0.0,0.2082,0.0,0.0,0.0,0.7692,0.0,0.0,0.0,0.0,0.0226,20568.67
5,30,0.1667,19813.35,19813.35,26118.13,18719.13,7399.0,6,1.2,3962.67,30054.09,32147.85,-405.6242,593.32,0.5254,1.1886,0.0273,0.0,0.0,0.2772,0.0125,0.1422,0.0,0.0,0.0,0.5254,0.0,0.0,0.0,0.0,0.0154,14288.31
8,30,0.2667,19934.85,19934.85,26118.13,18719.13,7399.0,7,0.875,2491.86,30054.09,32147.85,-405.6242,593.32,0.5222,1.2027,0.0332,0.0,0.0,0.2755,0.0125,0.1413,0.0,0.0,0.0,0.5222,0.0,0.0,0.0,0.0,0.0153,14166.81
12,30,0.4,23046.77,23046.77,26118.13,21521.07,4597.06,10,0.8333,1920.56,30054.09,32147.85,-405.6242,593.32,0.4517,1.2966,0.0386,0.0,0.0035,0.2383,0.0108,0.2438,0.0,0.0,0.0,0.4517,0.0,0.0,0.0,0.0,0.0133,11054.89
15,30,0.5,23260.24,23260.24,26118.13,21521.07,4597.06,11,0.7333,1550.68,30054.09,32147.85,-405.6242,593.32,0.4476,1.3136,0.0475,0.0,0.0035,0.2361,0.0107,0.2416,0.0,0.0,0.0,0.4476,0.0,0.0,0.0,0.0,0.0131,10841.42
18,30,0.6,26217.93,26217.93,26118.13,23655.34,2462.79,14,0.7778,1456.55,30054.09,32147.85,-405.6242,593.32,0.3971,1.4167,0.0421,0.0298,0.0031,0.2095,0.0095,0.2957,0.0,0.0,0.0,0.3971,0.0,0.0,0.0016,0.0,0.0117,7883.73
22,30,0.7333,28090.31,28090.31,26118.13,23655.34,2462.79,17,0.7727,1276.83,30054.09,32147.85,-405.6242,593.32,0.3706,1.555,0.0416,0.0688,0.0263,0.1955,0.0088,0.276,0.0,0.0,0.0,0.3706,0.0,0.0,0.0015,0.0,0.0109,6011.35
25,30,0.8333,30553.1,30553.1,26118.13,26118.13,0,18,0.72,1222.12,30054.09,32147.85,-405.6242,593.32,0.3407,1.5252,0.0383,0.0633,0.0241,0.1797,0.0081,0.3344,0.0,0.0,0.0,0.3407,0.0,0.0,0.0014,0.0,0.01,3548.56
28,30,0.9333,34101.66,31223.07,26118.13,26118.13,0,21,0.75,1217.92,30054.09,32147.85,-405.6242,593.32,0.3053,1.6389,0.1304,0.0594,0.0216,0.161,0.0125,0.2996,0.0,0.0,0.0,0.3053,0.0,0.0,0.0012,0.0,0.009,0.0
1,30,0.0333,13874.41,13874.41,24357.71,12992.36,11365.35,3,3.0,13874.41,31032.83,32201.45,-401.5654,791.77,0.7503,0.7036,0.0,0.0636,0.0,0.0,0.0,0.1861,0.0,0.0,0.0,0.7503,0.0,0.0,0.0,0.0,0.0,15362.9
3,30,0.1,13874.41,13874.41,24357.71,12992.36,11365.35,3,1.0,4624.8,31032.83,32201.45,-401.5654,791.77,0.7503,0.7036,0.0,0.0636,0.0,0.0,0.0,0.1861,0.0,0.0,0.0,0.7503,0.0,0.0,0.0,0.0,0.0,15362.9
5,30,0.1667,18576.37,18576.37,24357.71,17694.32,6663.39,4,0.8,3715.27,31032.83,32201.45,-401.5654,791.77,0.5604,1.0913,0.0,0.0475,0.0,0.2531,0.0,0.139,0.0,0.0,0.0,0.5604,0.0,0.0,0.0,0.0,0.0,10660.94
